PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,902,1.916727,2.058606,2.270794,130.0945,113827.3594,683444,null,[M-H]-,M + 1,isotope of 1,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,31.85545,130.09451:109615 132.05582:86409 134.04646:51522 134.89372:90240,
1,Unknown,904,1.94755,2.062031,2.296683,129.0911,1592913.625,11548542,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,88.66244,129.09106:1790141 130.04005:80762 130.09436:104519 132.05568:243459 133.05089:57517 134.03503:107634,50.80577:3139 50.9343:3698 54.02844:3327 68.91823:4650 70.88669:3167
2,Unknown,908,2.026462,2.075545,2.214621,62.99611,6422861.5,67414992,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,6.412597,62.99611:6503462 63.99947:88445,51.52663:3649 54.77107:3458 55.03337:3491 57.99095:3853 59.24963:3526 60.99192:22409 62.85815:3252 62.86709:4380 62.91467:3852 62.98426:45977 62.99614:2363422 63.12537:3913
3,Unknown,908,1.940667,2.075545,2.247604,136.9937,82740.27344,338065.9688,null,[M+Br]-,M + 0,adduct linked to 5_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,11.98617,136.6093:51531 136.99371:90335 137.02341:70928392 137.05205:69577 137.93948:66145 138.02678:5100848 138.14294:54685 139.02762:462986 139.03032:188652 141.00037:102526,
4,Unknown,908,1.892196,2.075545,2.305664,139.0276,520333.6563,3015602.75,null,[M-H]-,M + 2,isotope of 7,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,50.19858,139.02762:462986 139.03032:188652 141.00037:102526 143.10675:527372,
5,Unknown,911,1.978054,2.08111,2.508517,93.03342,15765339,113335768,null,[M+Cl]-,M + 0,adduct linked to 3_[M+Br]-; found in higher mz's MsMs_7,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,670.7919,93.03342:17636236 94.03678:1038890 94.03941:64814 94.97944:23454198 95.02387:68263 95.97901:1452970 96.05553:169374 96.97632:776301 96.98367:163666 98.02361:110165,56.56894:13449 61.64125:12336 65.03845:263843 65.99738:18974 66.14109:12825 66.67194:12348 72.57545:11722 73.28714:12129 74.67949:11198 75.02279:23252 93.00836:36777 93.03339:9854461
6,Unknown,911,1.883113,2.08111,2.346449,94.03678,985888.375,6684453,null,[M+Cl]-,M + 1,isotope of 5,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,51.9574,94.03678:1038890 94.03941:64814 94.97944:23454198 95.02387:68263 95.97901:1452970 96.05553:169374 96.97632:776301 96.98367:163666 98.02361:110165 99.01886:85024,55.30474:3157 66.04185:5239 68.09956:3334 76.96882:8989 83.54072:3504 94.02877:11426 94.03676:366538
7,Salicylic Acid,911,1.773989,2.08111,2.504027,137.0234,64247764,450775616,null,[M-H]-,M + 0,,2.2,137.02386,null,null,null,null,annotated by user-defined text library,TRUE,TRUE,FALSE,100,null,null,null,99.8,3742.978,136.60902:98088 136.99393:120511 137.02341:71976832 137.05405:103095 137.16524:52489 137.43964:100515 137.93948:84027 138.02679:5152267 138.06619:110069 139.02759:521461 139.03029:177384,52.36544:3227 52.64053:3213 52.82129:3703 52.82286:3268 53.72406:4293 59.74257:3451 60.58216:3192 65.03847:18134 65.23548:3971 90.46964:3766 93.03342:2042971 123.56548:4040 136.89127:4930 137.02341:124603
8,Unknown,911,1.964362,2.08111,2.410245,138.0268,4700596.5,33733176,null,[M-H]-,M + 1,isotope of 7,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,189.5648,137.93948:84027 138.02679:5152267 138.06619:110069 139.02759:521461 139.03029:177384 142.9926:50313,53.81541:4253 58.7126:4114 59.61217:3816 60.03355:3913 63.02219:3326 65.03842:13011 66.04185:27704 79.39933:3725 93.03344:540956 94.03677:3226772 104.12077:4202 108.02053:27973 111.93641:37546 119.7205:4131 123.07399:3982 137.60217:3955 138.0188:18792
9,Unknown,911,1.953115,2.08111,2.177796,550.6007,60912.52734,230041.9375,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,12.44023,550.58105:59577 550.60168:73042,
10,Unknown,930,1.960894,2.126857,2.280964,191.0379,159933.9375,836145.6875,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,17.0871,190.66013:43122 191.03793:188084 194.90541:1156348 194.93961:72273 195.90532:210690,
11,Unknown,938,2.00796,2.144851,2.349662,165.0401,388097.125,2867461.25,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,28.84655,165.0401:344485 166.03954:91252 166.0536:544778 166.95671:44625 168.40536:43678,53.54879:3522 57.33305:3161 57.43006:3269 57.80123:3226 58.52845:3396 59.09226:3294 59.96597:3374 63.23785:3382 69.65691:3453 72.99204:7443 74.98959:54005 75.9612:3352 79.95615:4393 80.97366:5512 81.63371:3557 82.02857:4109 82.03986:25586 82.20018:3704 91.02091:55935 93.00021:75983 96.09026:3478 105.23036:3540 121.02841:5543 139.54094:3848 149.00864:481109 164.89479:7093
12,Unknown,941,1.981479,2.151155,2.328239,381.0899,84004.39844,378087.1563,null,[M+Br]-,M + 0,adduct linked to 14_[M-C6H10O5-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,19.43289,381.08994:154728,
13,Unknown,945,2.001185,2.159603,2.237329,208.0349,36105.28125,164089.0313,null,[M+Cl]-,M + 1,isotope of 22,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,9.614244,208.0349:80644 210.05902:113293 211.27744:87722 212.07474:42367796 212.12962:50544 212.8768:72266 212.88252:39875,
14,Unknown,948,1.974692,2.165869,2.285456,139.0755,90164.54688,477301.625,null,[M-C6H10O5-H]-,M + 0,adduct linked to 12_[M+Br]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,22.50188,138.90942:54773 139.02759:104996 139.07545:124256 141.0005:52265 143.10672:243961,
15,Unknown,948,1.940667,2.165869,2.296683,159.0477,209832.8438,1219915,null,[M-H]-,M + 0,adduct linked to 21_[M+FA-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,23.20442,159.04767:238513 160.05054:46899 162.95932:53796,
16,Unknown,948,1.94755,2.165869,2.292192,206.0394,615633.9375,3746703.25,null,[M+FA-H]-,M + 1,isotope of 21,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,153.3265,206.03941:764552 206.16277:50152 207.03165:774996 207.04018:46013 208.03522:47462,
17,Unknown,952,1.94755,2.174309,2.417284,127.0577,1240695.625,8034021,null,[M-H]-,M + 0,adduct linked to 20_[M+FA-H]-; found in higher mz's MsMs_21,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,90.63704,127.05766:1513302 127.1761:45047 128.03412:56281 128.06102:106066 129.0912:249805 130.09422:41641 131.03513:91338 132.05569:137846,50.79867:3360 57.86733:3365 66.23986:3494 68.71481:3302 68.83819:3659 71.53342:3519 79.04132:3480 82.89048:3491 84.93021:3293 95.34173:3469 98.01839:11942 103.0191:3041 110.03912:3361 114.96539:3504 119.21835:4080 126.90394:13009
18,Unknown,952,1.838897,2.174309,2.544554,171.0478,9753028,64581104,null,[M-H]-,M + 0,adduct linked to 22_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,310.0369,171.01152:53441 171.04781:11515796 171.10205:71160 171.13808:91355 172.04733:84239 172.0511:842961 172.9572:1145292 173.04353:567127 173.05148:45105 173.06331:55147 173.95677:97942 174.95428:113060,53.68288:3371 59.01118:4330 59.01255:19314 59.66008:3441 60.99062:13571 65.01328:4319 67.02896:4468 73.99848:4575 74.89397:3542 75.00632:7171 76.96657:7344 76.96886:103990 79.25941:3493 87.00623:8864 91.02898:8711 93.06976:14683 94.97949:53866 100.0144:19751 101.02203:22537 118.69555:3629 127.11186:9563 129.05348:20925 135.96529:3498 137.07516:3582 154.44115:5074 154.94644:1045935
19,Unknown,952,1.916727,2.174309,2.401895,172.0511,882626,5670924,null,[M-H]-,M + 1,isotope of 18,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,49.22446,172.04733:84239 172.0511:842961 172.9572:1145292 173.04353:567127 173.05148:45105 173.06331:55147 173.95677:97942 174.95428:113060 176.85242:47503,
