mz,mz_obs,compound,file_name,rt,rtmin,rtmax,MS2s
88.98749,88.98685,Oxalic Acid,201110_Std_4uMStdsMix1InH2O_20neg1,13.111,12.311,13.911000000000001,"60.99241, 100; 88.98761, 60.1; 89.01332, 47.9; 89.02324, 37.6; 74.99263, 13.2; 59.01264, 5; 90.66536, 3.9; 54.56118, 3.8; 68.13535, 3.8; 98.2131, 3.6; 52.78764, 3.5; 74.40258, 3.5; 70.4367, 3.5; 100.64548, 3.3; 58.93531, 3.3; 64.67185, 3.3; 74.13564, 3.2; 84.31402, 3.2; 52.30993, 3.2; 66.43202, 3.2; 55.66327, 3.1; 71.96741, 3.1"
115.00314,115.00259,Fumaric Acid,201110_Std_4uMStdsMix1InH2O_20neg1,11.978,11.177999999999999,12.778,"114.93444, 100; 71.01263, 66.7; 115.07529, 15.9; 97.9302, 15.6; 71.04896, 5.6; 73.03953, 4.3; 115.0025, 3.9; 115.02908, 3.6; 74.99254, 3.4; 115.03882, 2.9; 59.01268, 1.4; 107.18872, 1.2; 117.08977, 1.2; 96.32343, 1; 110.6104, 1; 93.79179, 1; 50.22569, 1; 78.56635, 1; 81.95463, 1; 74.86985, 0.9; 85.41346, 0.9; 76.38033, 0.9; 52.53255, 0.9; 73.63446, 0.9; 62.77176, 0.9; 52.61465, 0.9"
116.03477,116.03422,Acetylglycine,201110_Std_4uMStdsMix1InH2O_20neg1,5.779,4.979,6.579,"74.02354, 100; 72.04389, 13.4; 116.0342, 5.9; 116.02433, 2.6; 115.9196, 2.3; 89.01333, 2; 115.93849, 1.6"
117.01878,117.01826,Succinic Acid,201110_Std_4uMStdsMix1InH2O_20neg1,11.49,10.69,12.290000000000001,"116.92742, 100; 99.92463, 22.7; 73.02829, 10.5; 117.0183, 1.8; 90.00856, 1; 99.00761, 0.8"
128.03427,128.03427,L-Pyroglutamic acid,201110_Std_4uMStdsMix1InH2O_20neg1,6.323,5.523000000000001,7.123,"128.03425, 100; 82.02868, 3.2; 84.04427, 0.7"
130.05042,130.04997,Propionylglycine,201110_Std_4uMStdsMix1InH2O_20neg1,4.035,3.2350000000000003,4.835,"74.02354, 100; 130.04991, 9.9; 86.06041, 6.6; 130.04024, 5; 65.0133, 2.2; 89.01331, 0.7"
133.0137,133.01328,Malic Acid,201110_Std_4uMStdsMix1InH2O_20neg1,12,11.2,12.8,"115.00256, 100; 71.01264, 61.2; 133.01321, 26.6; 72.99238, 13.4; 89.02325, 8.3; 132.98331, 2.6; 133.05088, 1.5; 87.00755, 1.2; 91.029, 0.8; 133.03955, 0.8; 65.01328, 0.8; 59.01265, 0.8; 106.03993, 0.6"
135.02934,135.02887,Threonic acid,201110_Std_4uMStdsMix1InH2O_20neg1,8.882,8.081999999999999,9.682,"75.00755, 100; 135.02888, 30.3; 134.8936, 17.2; 72.99142, 11.5; 89.02328, 10.6; 59.01302, 10; 152.97016, 4.3; 71.01261, 3; 77.0118, 2.8; 135.04215, 2.7; 134.95951, 2.2; 107.04913, 2.1; 117.01818, 1.7; 137.03328, 1.7; 136.89091, 1.1; 87.00751, 1.1; 93.03333, 0.6"
137.02386,137.02342,Salicylic Acid,201110_Std_4uMStdsMix1InH2O_20neg1,2.18,1.3800000000000001,2.9800000000000004,"93.03342, 100; 137.02341, 24.6; 110.9443, 0.6; 109.94089, 0.6; 136.94747, 0.6"
144.06607,144.06569,Butyrylglycine,201110_Std_4uMStdsMix1InH2O_20neg1,2.69,1.89,3.49,"74.02354, 100; 100.07562, 8.6; 144.06565, 7.8; 144.05578, 2.2; 99.92458, 1.5; 72.04428, 0.7; 84.04423, 0.6"
145.0137,145.01335,Ketoglutaric Acid,201110_Std_4uMStdsMix1InH2O_20neg1,11.471,10.671,12.271,"118.04147, 100; 101.0233, 73.4; 145.05101, 26.4; 100.92488, 18.1; 57.03329, 13.6; 127.05035, 9.9; 77.01337, 8.7; 101.05955, 8.2; 145.06085, 7.6; 73.02827, 6.9; 101.07098, 6; 128.03467, 4.8; 109.03965, 4.6; 113.98768, 3.8; 145.01346, 3.5; 50.91677, 3.2; 119.20158, 2.8; 83.04923, 2.8; 150.64476, 2.7; 87.30253, 2.6; 63.74831, 2.6; 135.45638, 2.6; 87.78412, 2.6; 67.83347, 2.4; 69.00664, 2.4; 69.22111, 2.4; 135.06194, 2.3"
