"","Set","Compound.Name","Retention.Time","MYCOLUMN","mz","MS2"
"1","1","Ingalls_Vitamin B3",228.60432,"124.0394 ","124.0394 ",NA
"2","2","Ingalls_Tyrosine ",541.14834,"182.0811 ","182.0811 ",NA
"3","3","Ingalls_Trigonelline ",463.14936,"138.0549 ","138.0549 ",NA
"4","4","Ingalls_Threonine ",655.191,"120.0657 ","120.0657 ",NA
"5","5","Ingalls_Thiamine pyrophosphate",814.7184,"425.0443 ","425.0443 ",NA
"6","6","Ingalls_Thiamine monophosphate",677.2092,"345.078 ","345.078 ",NA
"7","7","Ingalls_Serine ",688.5912,"106.0502 ","106.0502 ",NA
"8","8","Ingalls_Propionyl-L-carnitine ",338.50734,"218.1384 ","218.1384 ",NA
"9","9","Ingalls_Proline ",529.92666,"116.0708 ","116.0708 ",NA
"10","10","Ingalls_Ornithine ",944.235,"133.0972 ","133.0972 ","50.73386, 1124; 51.03363, 1165; 51.99918, 1650; 55.49281, 932; 70.0658, 104813; 71.06913, 2588; 73.96352, 1265; 75.97345, 1037; 86.09688, 1811; 89.36765, 1078; 100.21414, 1113; 109.48794, 937; 114.09158, 4780; 115.08678, 16074; 116.07088, 83310; 117.0741, 6782; 123.21928, 1249; 132.10202, 38411; 132.13861, 1226; 133.07608, 4294; 133.09712, 8635; 133.10529, 7365; "
"11","11","Ingalls_Ophthalmic Acid",653.5404,"290.1344 ","290.1344 ","58.06582, 1165761; 59.06287, 2218; 59.06916, 20625; 63.29565, 1262; 65.87299, 1496; 69.66821, 1102; 74.78039, 1234; 76.03981, 2943; 84.0449, 91723; 85.04818, 1589; 91.56985, 1301; 102.05516, 1839; 124.07558, 12875; 130.04988, 78423; 131.05328, 2060; 133.09708, 1706; 142.04951, 9361; 142.08644, 1939; 146.04362, 1397; 152.0706, 5804; 161.09193, 240905; 162.09555, 9065; 169.09706, 15738; 170.08099, 29830; 171.08409, 1336; 171.59694, 1238; 175.34386, 1222; 179.761, 1338; 197.09195, 26579; 215.10243, 94832; 216.10551, 5651; 217.05821, 16882; 217.07141, 6136; 227.1024, 37499; 228.10603, 1445; 242.24738, 1454; 252.3831, 1597; 272.12402, 1791; 273.10779, 37728; 290.13351, 2559; 290.26883, 5569; "
"12","12","Ingalls_N(e)-Acetyl-Lysine ",546.48732,"189.1233 ","189.1233 ","60.89927, 8592; 78.70271, 8725; 79.14729, 8361; 84.0813, 3580637; 85.08465, 104121; 89.48647, 8298; 93.27863, 9425; 98.06065, 9542; 100.24537, 8451; 104.61398, 8586; 105.01521, 8803; 112.0759, 41575; 112.79144, 7223; 116.07091, 75436; 116.77635, 9596; 118.68664, 10716; 126.09141, 12158696; 127.0891, 30285; 127.09473, 473893; 129.10233, 21395; 130.0863, 465670; 143.11784, 658316; 144.12117, 13591; 147.11296, 97252; 148.08705, 11043; 164.39622, 8515; 168.00507, 9828; 170.48032, 9017; 189.12325, 1127048; "
"13","13","Ingalls_N-Acetyl-Serine ",395.06268,"148.0604 ","148.0604 ","55.07958, 1222; 60.68985, 1254; 62.38086, 1017; 67.10015, 1141; 83.03265, 1031; 85.85553, 1045; 88.03979, 8087; 99.06051, 1226; 106.05024, 2576; 106.05946, 1097; 121.02864, 2374; 141.90808, 1137; 147.0914, 1383; 148.03912, 9142; 148.08681, 43167; 148.09688, 7315; 148.112, 6295; "
"14","14","Ingalls_Muramic Acid",628.746,"252.1076 ","252.1076 ","55.0187, 1870; 55.05493, 1873; 56.0502, 13757; 58.06575, 1600; 59.71815, 1404; 60.04515, 6204; 61.0291, 2013; 61.53029, 1367; 65.10353, 1392; 68.05016, 22274; 69.03413, 8046; 70.06573, 16497; 71.04987, 5195; 72.04503, 100972; 73.02903, 8152; 79.02201, 1173; 80.05005, 19072; 80.27151, 1232; 81.03405, 11772; 83.04971, 1783; 84.04493, 183054; 85.02892, 11270; 85.04838, 2412; 85.91403, 1182; 86.06055, 8458; 87.04455, 1571; 90.0555, 2422; 91.25429, 1177; 93.33751, 1257; 96.04481, 84665; 97.02881, 35277; 97.04855, 1350; 98.06045, 98782; 99.04438, 11785; 100.03984, 2793; 100.52284, 1269; 101.02372, 2560; 102.05544, 1642; 106.28219, 1228; 108.04479, 13225; 109.02877, 7693; 111.04417, 1301; 114.05522, 28400; 116.07082, 11111; 123.18779, 1404; 124.07587, 2643; 126.05503, 477276; 127.0392, 16076; 127.05843, 14902; 129.0547, 1929; 139.79443, 1215; 144.06546, 329413; 145.04926, 2570; 145.06883, 8456; 157.04926, 4893; 158.08099, 1707; 162.07581, 1966; 168.06548, 7606; 169.04953, 6113; 170.08087, 14027; 171.06525, 8970; 186.07607, 23628; 188.09177, 9233; 191.15523, 1242; 198.07567, 5575; 216.0865, 297843; 217.07072, 1756; 217.08977, 11899; 217.6586, 4141; 217.67149, 17837; 223.97682, 2077; 234.09697, 125614; 235.10066, 5737; 235.40416, 1520; 241.98727, 7194; 242.99156, 2710; 251.99039, 2912; 252.10764, 17304; 252.20726, 1446; "
"15","15","Ingalls_Methionine ",438.37266,"150.0583 ","150.0583 ","56.05022, 968292; 57.03426, 3101; 57.05361, 25150; 59.54259, 2850; 60.86358, 2953; 61.01136, 242239; 72.56538, 3017; 74.02432, 42356; 74.06069, 90560; 75.02684, 4030; 79.31499, 2407; 81.08152, 2542; 81.46739, 2572; 84.04494, 31215; 85.02892, 24155; 87.02679, 93388; 90.18124, 2540; 96.84674, 2442; 102.05534, 474820; 103.05865, 17008; 104.05319, 2123823; 105.00066, 5249; 105.03745, 20483; 105.0526, 11349; 105.05644, 74072; 109.07632, 4513; 110.07162, 3252; 123.13415, 3465; 130.24692, 2413; 132.10211, 3633; 133.0318, 1367290; 133.07593, 3254; 134.03114, 5557; 134.03539, 56910; 134.07129, 3483; 135.58832, 2786; 140.71198, 2551; 149.02347, 15424; 149.07111, 3910; 149.08235, 19395; 150.05832, 435829; 150.07722, 13229; 150.0849, 3894; 150.0914, 9844; 150.10284, 28864; 150.11256, 11848; "
"16","16","Ingalls_Lysine ",1043.3532,"147.1128 ","147.1128 ","51.78799, 1106; 55.10522, 991; 55.82627, 1014; 62.92547, 1062; 64.82459, 1080; 64.92793, 1830; 84.08137, 39532; 89.84051, 1066; 103.53628, 1198; 123.96446, 35588; 128.85063, 1125; 130.08636, 30114; 146.98036, 4428; 147.05511, 1472; 147.09172, 2452; 147.11261, 4672; "
"17","17","Ingalls_Hypotaurine ",650.4468,"110.0716 ","110.0716 ","55.5845, 1112; 56.05013, 1939; 68.05012, 2463; 69.04534, 8086; 70.02937, 1585; 70.04061, 35867; 70.06581, 6188; 71.71651, 1121; 81.04537, 1110; 82.05311, 2366; 82.74377, 1053; 83.06091, 35029; 83.06372, 1493; 87.03678, 1167; 92.01686, 14126; 93.04515, 17765; 94.04035, 1190; 97.49715, 1029; 107.40199, 987; 109.07262, 1055; 109.07631, 9706; 110.02728, 15450; 110.06028, 15202; 110.07155, 238994; 110.09667, 1274; "
"18","18","Ingalls_Hydroxylysine ",949.7172,"163.1077 ","163.1077 ","50.00632, 1193; 55.055, 13253; 56.05021, 6258; 57.07062, 13658; 57.71255, 1171; 59.96217, 1293; 62.98248, 1988; 70.50002, 999; 71.42849, 1181; 74.02428, 15107; 77.85165, 1165; 82.01434, 71503; 82.06568, 82728; 83.06915, 1909; 83.08611, 5231; 84.08131, 11983; 89.06014, 21742; 98.99055, 1903; 99.09212, 5072; 100.02474, 238718; 100.0761, 64729; 101.09647, 7531; 102.02888, 1535; 102.33691, 1078; 105.03378, 9903; 107.0705, 7015; 118.03512, 69758; 123.04041, 35197; 124.11752, 1392; 127.08679, 2419; 128.07069, 217792; 129.07396, 12361; 129.23647, 1325; 136.94975, 10263; 140.76445, 1267; 141.0509, 11203; 142.41708, 1346; 145.09717, 36463; 146.0811, 29914; 147.73624, 1153; 148.40079, 1367; 159.34743, 1315; 162.07774, 1146; 162.92886, 1689; 163.07553, 2081; 163.09781, 24615; 163.10754, 27758; 163.12325, 4547; "
"19","19","Ingalls_Homarine ",322.20468,"138.0549 ","138.0549 ","51.62916, 1182; 56.96564, 1770; 60.03859, 1187; 70.70837, 1117; 78.03451, 1840; 78.57115, 1339; 79.77686, 1211; 80.27937, 1228; 94.06562, 37533; 95.06879, 1659; 96.04486, 51983; 96.05595, 1532; 96.13982, 1343; 97.07645, 2337; 101.73415, 1288; 110.06032, 1210; 110.07153, 1956; 122.07158, 5427; 124.0395, 36810; 137.05913, 2539; 137.06509, 20407; 137.07095, 4959; 137.08186, 1557; 137.10724, 5621; 137.24619, 1221; 138.05492, 1590107; 138.09135, 6239; 138.10249, 33633; "
"20","20","Ingalls_Histidine ",617.4954,"156.0768 ","156.0768 ","52.20908, 4457; 55.81351, 4922; 56.75607, 4566; 63.80415, 4548; 64.61549, 4833; 64.79388, 4795; 66.27413, 4512; 82.05309, 28790; 83.06089, 126832; 83.48771, 4713; 90.17362, 4392; 93.04519, 40834; 95.06078, 447752; 96.06413, 22233; 99.69707, 4718; 102.80406, 5039; 110.07151, 7687165; 110.13231, 6726; 110.17639, 5611; 111.05556, 17272; 111.06846, 61219; 111.07484, 317693; 112.08723, 11937; 115.96426, 9739; 123.20855, 4434; 129.07033, 5682; 138.06619, 8700; 156.07666, 2764363; "
"21","21","Ingalls_Guanosine ",532.93068,"284.0988 ","284.0988 ","60.04518, 2523; 61.13623, 1774; 68.1066, 1799; 70.03022, 1774; 73.02937, 1935; 85.02892, 3630; 96.17902, 1815; 103.03964, 1867; 108.07369, 1985; 115.03929, 2299; 119.9855, 1746; 120.68252, 2013; 130.8958, 1850; 131.64497, 1808; 133.04947, 9888; 135.03009, 7371; 152.05661, 2862397; 152.54413, 1700; 153.04056, 4665; 153.05354, 20322; 153.06001, 74692; 158.22202, 1779; 166.90575, 2037; 218.09932, 5270; 218.1122, 24597; 245.53917, 2341; 284.29459, 10828; "
"22","22","Ingalls_Glycerophosphocholine ",652.5498,"258.1099 ","258.1099 ","50.73698, 11770; 50.73864, 9893; 51.79348, 12058; 52.8333, 10618; 56.46099, 12773; 57.39997, 11871; 58.06598, 14134; 60.0815, 317297; 71.07366, 49453; 80.28278, 9970; 85.25938, 12907; 86.09695, 984917; 88.07708, 10894; 98.98447, 13815; 104.10732, 17136310; 104.16257, 14127; 105.10435, 48488; 105.11064, 435920; 107.56094, 12401; 107.73371, 10913; 123.18865, 12031; 124.99992, 1379734; 126.01738, 14085; 128.20789, 13519; 155.01018, 11594; 181.02567, 26840; 184.07329, 1460248; 185.07729, 20207; 199.03616, 63901; 199.55858, 13236; 217.65102, 40253; 217.66534, 142573; 240.09933, 62814; 253.12064, 10599; 258.10992, 1366736; "
"23","23","Ingalls_Glutathione Disulfide",886.6182,"613.1592 ","613.1592 ","65.11669, 1120; 67.18293, 1088; 84.04472, 1328; 84.63792, 1193; 88.98148, 1368; 89.74615, 1251; 102.95773, 1158; 123.11224, 1306; 130.04984, 11981; 131.045, 8334; 145.06047, 4773; 153.06554, 1813; 155.08154, 1542; 157.9465, 1306; 173.84885, 1210; 177.03271, 37554; 179.04837, 5072; 181.06058, 2023; 185.03827, 1617; 199.07108, 8074; 202.41533, 1387; 204.26753, 1347; 207.27951, 1200; 209.00458, 8301; 211.02019, 8004; 222.28833, 1195; 231.04309, 66516; 232.04686, 2325; 235.02036, 21525; 257.07657, 2309; 257.35471, 1434; 265.03104, 5614; 288.06467, 7757; 298.05142, 2041; 355.07364, 8077; 373.28403, 1417; "
"24","24","Ingalls_Glutathione ",709.2888,"308.091 ","308.091 ","56.01425, 1185; 58.99573, 4761; 66.05078, 1241; 66.08218, 1047; 76.02216, 133583; 76.03998, 2882; 77.02563, 1393; 84.04496, 35625; 103.25662, 1231; 116.01674, 17572; 130.04996, 29300; 141.56548, 1181; 142.0321, 7628; 143.15018, 1282; 144.0114, 21609; 146.02739, 1569; 162.02191, 101705; 163.02504, 1345; 170.02692, 9068; 179.04834, 37972; 187.05357, 5417; 192.49985, 1353; 199.05376, 1934; 213.88464, 1161; 215.04799, 6319; 217.45073, 19837; 227.04895, 1537; 233.05884, 16860; 242.41237, 1160; 245.05911, 5690; 254.62383, 1247; 291.06442, 1518; 294.71552, 1098; 302.65851, 1153; "
"25","25","Ingalls_Glutamine ",662.2704,"147.0763 ","147.0763 ","62.41418, 2254; 64.9279, 1862; 66.62306, 1515; 72.34143, 1678; 73.66552, 1592; 80.37472, 1540; 84.04494, 267876; 85.04826, 14849; 87.64964, 1590; 101.07133, 44900; 102.05527, 11981; 105.95403, 1689; 109.29679, 1521; 118.58623, 1743; 123.14588, 1920; 123.96457, 51997; 130.04993, 499248; 131.05316, 29293; 131.05721, 1600; 137.23914, 1826; 146.12877, 2880; 146.98024, 2797; 147.07629, 58942; 147.09164, 7055; 147.11267, 3338; "
