PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,940,1.891074,2.077861,2.301128,444.1707,274643.7188,2864570.75,null,[M+H]+,M + 0,adduct linked to 6_[M+NH4]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,5492.875,444.17072:312103 444.37994:209828 445.03:20584 445.1752:74808 445.23334:808543 445.38339:58106 446.23639:279730 447.15823:14017 447.23898:53318 448.23264:38730,
1,Unknown,940,1.891074,2.077861,2.301128,502.224,461510.8438,4849544.5,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,332.8521,502.22397:497100 503.22742:182403 504.2305:44580 505.23862:47841 506.23969:17001,59.06115:281168 59.18002:3283 71.62204:4049 96.14704:3467 121.314:3978 125.39244:3705 131.25551:3528 215.30112:3422 216.26506:8095 216.27608:77668 240.18532:3986 287.63199:4132 422.42853:3989
2,Unknown,940,1.891074,2.077861,2.298882,503.2274,161815.7344,1645104.625,null,[M+H]+,M + 1,isotope of 1,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,3236.315,503.22742:182403 504.2305:44580 505.23862:47841 506.23969:17001 508.18265:17793,
3,Unknown,944,1.944701,2.085575,2.249195,292.139,679187.9375,5667386.5,null,[M+NH4]+,M + 0,adduct linked to 5_[M+Na]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,450.2138,292.01437:219970 292.13904:793125 292.17505:86724 293.14264:103899 294.15466:866041 294.19113:473925 294.95139:33233 295.1441:23982 295.15826:107192 295.1947:67463 296.04568:1523747 296.24316:161928 297.04898:51254 297.09454:180837,54.07248:3185 55.63056:3082 57.10915:3185 58.59598:3889 67.1032:3655 70.65612:3628 74.01817:4227 79.37962:3851 85.02925:5121 87.04467:221112 102.46992:4013 106.56438:3460 109.78304:3254 121.43517:3434 123.97162:3841 124.08266:4664 129.05499:4210 133.6256:3876 143.90565:3452 145.08603:3762 216.85149:62424 223.97728:6506 241.98753:23350 250.98834:15643 265.00363:4042 279.31915:3513
4,Unknown,944,1.921724,2.085575,2.259099,293.1426,93503.24219,704496.6875,null,[M+NH4]+,M + 1,isotope of 3,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,41.39304,293.14264:103899 294.15466:866041 294.19113:473925 294.95139:33233 295.1441:23982 295.15826:107192 295.1947:67463 296.04568:1523747 296.24316:161928 297.04898:51254 297.09454:180837 298.09836:23298,
5,Unknown,944,1.896626,2.085575,2.264686,297.0945,153236.8125,1369826.125,null,[M+Na]+,M + 0,adduct linked to 3_[M+NH4]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,36.66669,297.04898:51254 297.09454:180837 298.09836:23298 299.11011:384316 300.11353:44687 301.13342:84135 301.93372:21268,
6,Unknown,944,1.921724,2.085575,2.229903,461.1977,72741.54688,684985.8125,null,[M+NH4]+,M + 0,adduct linked to 0_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,51.10962,461.19769:88980 461.22818:19184 461.35953:31788 462.16727:21709 462.22885:93075 463.24939:530437 464.25333:185380 465.25525:26358,
7,Unknown,944,1.896626,2.085575,2.29439,489.2289,253242.4375,2497118.5,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,145.1744,489.22888:349288 490.23145:104708 492.23926:69622 492.32355:25382 493.24283:15830 493.34799:23700 494.17078:46248,59.71667:3413 62.8025:3536 65.88213:3643 69.86048:2971 76.97039:3588 84.48344:4128 122.80927:3406 123.90296:3523 129.74748:3252 130.06532:153258 130.07086:8503 144.27271:3678 147.84653:3496 152.90063:3322 160.55417:3738 217.64975:6033 217.66222:53668 235.93207:3683 257.10712:20180 285.10205:8690 313.0968:7772 431.36407:3897 444.17014:11354 484.81732:3428
8,Unknown,944,1.896626,2.085575,2.285409,490.2314,84152.71094,839943.4375,null,[M+H]+,M + 1,isotope of 7,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,53.30557,490.23145:104708 492.23926:69622 492.32355:25382 493.24283:15830 493.34799:23700 494.17078:46248,
9,Unknown,948,1.913976,2.093298,2.277676,262.2176,50018.30859,360222.1563,null,[M+2ACN+H]+,M + 0,adduct linked to 31_[M+K]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,27.9451,262.12875:43769 262.14355:20221 262.16489:417367 262.21759:64259 263.16818:65762 264.14441:36670 264.18063:97574 265.00342:361655 265.21219:77177 266.15967:43647 266.22256:22243 266.24246:181868 267.07339:48467 267.12256:22434,
