Compound.Type,Column,Compound.Name,Compound.Name_old,Compound.Name_figure,Compound.Name_SQL,QE.LinRange,QE.RF.ratio,QE.RSD,TQS.LinRange,TQS.RF.ratio,TQS.RSD,Emperical.Formula,RT..min.,m.z,ionization_form,z,C0,ChEBI,ChEBI_old,Fraction1,Fraction2,Liquid.Fraction,Conc..uM,HILICMix,Date.added,KEGGNAME,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name,Classyfire
Amino Acid,HILIC,L-Methionine,Methionine,Methionine,Methionine,1000 - >10000,0.85,12,<10 - 1000,1.021,18.5,C5H11NO2S,7.96,150.058876,[M+H],1,cpd:C00073,CHEBI:16643,CHEBI:16811,HILICPos,NA,Aq,4,Mix1,160401,L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid,(2S)-2-amino-4-methylsulfanylbutanoic acid,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCCC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Methionine_and_derivatives; level 8: Methionine_and_derivatives
Amino Acid,HILIC,L-Alanine,Alanine,Alanine,Alanine,1000 - >10000,0.903,8.5,20 - >10000,0.814,9.8,C3H7NO2,11.3,90.055504,[M+H],1,cpd:C00041,NA,CHEBI:16977,HILICPos,NA,Aq,4,Mix1,160401,L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine,(2S)-2-aminopropanoic acid,QNAYBMKLOCPYGJ-REOHCLBHSA-N,CC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alanine_and_derivatives; level 8: Alanine_and_derivatives
Amino Acid,HILIC,L-Arginine,Arginine,Arginine,Arginine,<10 - >10000,0.849,16.8,<10 - >10000,0.933,11.6,C6H14N4O2,17.93,175.119501,[M+H],1,cpd:C00062,NA,CHEBI:16467,HILICPos,NA,Aq,4,Mix1,160401,L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,ODKSFYDXXFIFQN-BYPYZUCNSA-N,C(CC(C(=O)O)N)CN=C(N)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
Amino Acid,HILIC,L-Asparagine,Asparagine,Asparagine,Asparagine,100 - >10000,0.824,16.1,20 - 1000,0.894,6.5,C4H8N2O3,11.86,133.061318,[M+H],1,cpd:C00152,NA,CHEBI:17196,HILICPos,NA,Aq,4,Mix1,160401,L-Asparagine; 2-Aminosuccinamic acid,"(2S)-2,4-diamino-4-oxobutanoic acid",DCXYFEDJOCDNAF-REOHCLBHSA-N,C(C(C(=O)O)N)C(=O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Asparagine_and_derivatives; level 8: Asparagine_and_derivatives
Amino Acid,HILIC,L-Aspartic acid,Aspartic acid,Aspartic acid,Aspartic acid,100 - >10000,0.899,37.3,100 - >10000,0.818,11.6,C4H7NO4,12.86,134.045334,[M+H],1,cpd:C00049,NA,CHEBI:17053,HILICPos,NA,Aq,4,Mix1,160401,L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp,(2S)-2-aminobutanedioic acid,CKLJMWTZIZZHCS-REOHCLBHSA-N,C(C(C(=O)O)N)C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Aspartic_acid_and_derivatives; level 8: Aspartic_acid_and_derivatives
Amino Acid,HILIC,L-Cysteine,Cysteine,Cysteine,Cysteine,NA,NA,NA,NA,NA,NA,C3H7NO2S,7,122.027576,[M+H],1,cpd:C00097,NA,CHEBI:17561,HILICPos,NA,Aq,NA,NA,NA,L-Cysteine; L-2-Amino-3-mercaptopropionic acid,(2R)-2-amino-3-sulfanylpropanoic acid,XUJNEKJLAYXESH-REOHCLBHSA-N,C(C(C(=O)O)N)S,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Cysteine_and_derivatives; level 8: Cysteine_and_derivatives
Amino Acid,HILIC,L-Cystine,Cystine,Cystine,Cystine,10000 - >10000,0.385,15.4,100 - >10000,0.261,15.1,C6H12N2O4S2,13.1,241.031677,[M+H],1,cpd:C00491,NA,CHEBI:16283,HILICPos,NA,Aq,4,Mix1,160401,L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid,(2R)-2-amino-3-[[(2R)-2-amino-2-carboxyethyl]disulfanyl]propanoic acid,LEVWYRKDKASIDU-IMJSIDKUSA-N,C(C(C(=O)O)N)SSCC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Cysteine_and_derivatives; level 8: L-cysteine-S-conjugates
Amino Acid,HILIC,L-Glutamic acid,Glutamic acid,Glutamic acid,Glutamic acid,1000 - >10000,1.83,30.9,100 - >10000,0.938,14.4,C5H9NO4,12.41,148.060984,[M+H],1,cpd:C00025,NA,CHEBI:16015,HILICPos,NA,Aq,4,Mix1,160401,L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate,(2S)-2-aminopentanedioic acid,WHUUTDBJXJRKMK-VKHMYHEASA-N,C(CC(=O)O)C(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Glutamic_acid_and_derivatives; level 8: Glutamic_acid_and_derivatives
Amino Acid,HILIC,L-Glutamine,Glutamine,Glutamine,Glutamine,1000 - >10000,0.912,21.2,20 - >10000,0.793,6.4,C5H10N2O3,11.7,147.076968,[M+H],1,cpd:C00064,NA,CHEBI:18050,HILICPos,NA,Aq,4,Mix1,160401,L-Glutamine; L-2-Aminoglutaramic acid,"(2S)-2,5-diamino-5-oxopentanoic acid",ZDXPYRJPNDTMRX-VKHMYHEASA-N,C(CC(=O)N)C(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
Amino Acid,HILIC,Glycine,Glycine,Glycine,Glycine,NA,NA,NA,NA,NA,NA,C2H5NO2,11.51,76.039854,[M+H],1,cpd:C00037,NA,CHEBI:15428,HILICPos,NA,Aq,4,Mix1,160401,Glycine; Aminoacetic acid; Gly,2-aminoacetic acid,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: Alpha_amino_acids
