Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],(N)CE,(N)CE type,MSX ID,Comment
194.1028,NA,NA,NA,NA,Positive,3.168871497,7.168871497,NA,NA,NA,NA
208.1185,NA,NA,NA,NA,Positive,2.629854491,6.629854491,NA,NA,NA,NA
222.1341,NA,NA,NA,NA,Positive,2.225591736,6.933051556,NA,NA,NA,NA
236.1498,NA,NA,NA,NA,Positive,2.596165928,7.303625748,NA,NA,NA,NA
250.1654,NA,NA,NA,NA,Positive,3.034117245,7.741577066,NA,NA,NA,NA
264.1811,NA,NA,NA,NA,Positive,3.539445688,8.246905509,NA,NA,NA,NA
278.1967,NA,NA,NA,NA,Positive,4.078462694,8.785922515,NA,NA,NA,NA
292.2124,NA,NA,NA,NA,Positive,4.684856826,9.392316647,NA,NA,NA,NA
306.228,NA,NA,NA,NA,Positive,5.291250958,10.03239934,NA,NA,NA,NA
320.2437,NA,NA,NA,NA,Positive,5.965022216,10.67248204,NA,NA,NA,NA
334.2593,NA,NA,NA,NA,Positive,6.672482036,11.37994186,NA,NA,NA,NA
346.2593,NA,NA,NA,NA,Positive,6.672482036,10.67248204,NA,NA,NA,NA
348.1054,NA,NA,NA,NA,Positive,0,2.30032888,NA,NA,NA,NA
348.275,NA,NA,NA,NA,Positive,7.379941857,12.08740168,NA,NA,NA,NA
356.1557,NA,NA,NA,NA,Positive,0,2,NA,NA,NA,NA
360.275,NA,NA,NA,NA,Positive,6.672482036,11.41363042,NA,NA,NA,NA
362.1211,NA,NA,NA,NA,Positive,0,2.30032888,NA,NA,NA,NA
362.2906,NA,NA,NA,NA,Positive,8.12109024,12.86223862,NA,NA,NA,NA
370.1713,NA,NA,NA,NA,Positive,0,2,NA,NA,NA,NA
374.2906,NA,NA,NA,NA,Positive,7.447318983,12.1547788,NA,NA,NA,NA
376.1367,NA,NA,NA,NA,Positive,0,2.30032888,NA,NA,NA,NA
376.3063,NA,NA,NA,NA,Positive,8.895927187,13.60338701,NA,NA,NA,NA
382.2593,NA,NA,NA,NA,Positive,5.796579401,9.796579401,NA,NA,NA,NA
384.187,NA,NA,NA,NA,Positive,0,2,NA,NA,NA,NA
384.275,NA,NA,NA,NA,Positive,6.840924851,10.84092485,NA,NA,NA,NA
386.2906,NA,NA,NA,NA,Positive,7.8852703,11.8852703,NA,NA,NA,NA
388.3063,NA,NA,NA,NA,Positive,8.222155929,12.92961575,NA,NA,NA,NA
390.1524,NA,NA,NA,NA,Positive,0,2.30032888,NA,NA,NA,NA
390.3219,NA,NA,NA,NA,Positive,9.670764133,14.41191252,NA,NA,NA,NA
396.275,NA,NA,NA,NA,Positive,5.830267964,9.830267964,NA,NA,NA,NA
398.2026,NA,NA,NA,NA,Positive,0,2,NA,NA,NA,NA
398.2906,NA,NA,NA,NA,Positive,6.874613414,10.87461341,NA,NA,NA,NA
400.3063,NA,NA,NA,NA,Positive,7.952647426,12.66010725,NA,NA,NA,NA
402.3219,NA,NA,NA,NA,Positive,8.996992875,13.7044527,NA,NA,NA,NA
404.168,NA,NA,NA,NA,Positive,0,2.30032888,NA,NA,NA,NA
404.3376,NA,NA,NA,NA,Positive,10.47928964,15.22043803,NA,NA,NA,NA
408.275,NA,NA,NA,NA,Positive,6.706170599,10.7061706,NA,NA,NA,NA
410.2906,NA,NA,NA,NA,Positive,6.605104911,11.31256473,NA,NA,NA,NA
412.2183,NA,NA,NA,NA,Positive,0,2,NA,NA,NA,NA
412.3063,NA,NA,NA,NA,Positive,7.64945036,12.39059874,NA,NA,NA,NA
414.3219,NA,NA,NA,NA,Positive,8.727484372,13.43494419,NA,NA,NA,NA
416.3376,NA,NA,NA,NA,Positive,9.805518385,14.51297821,NA,NA,NA,NA
418.1837,NA,NA,NA,NA,Positive,0,2.30032888,NA,NA,NA,NA
418.3532,NA,NA,NA,NA,Positive,11.32150371,16.02896353,NA,NA,NA,NA
422.2906,NA,NA,NA,NA,Positive,6.739859162,10.73985916,NA,NA,NA,NA
424.3063,NA,NA,NA,NA,Positive,7.379941857,11.37994186,NA,NA,NA,NA
426.2339,NA,NA,NA,NA,Positive,0,2,NA,NA,NA,NA
426.3219,NA,NA,NA,NA,Positive,8.457975869,12.45797587,NA,NA,NA,NA
428.3376,NA,NA,NA,NA,Positive,9.536009881,14.2434697,NA,NA,NA,NA
430.3532,NA,NA,NA,NA,Positive,10.61404389,15.35519228,NA,NA,NA,NA
432.1993,NA,NA,NA,NA,Positive,0,2.30032888,NA,NA,NA,NA
432.3689,NA,NA,NA,NA,Positive,12.16371779,16.87117761,NA,NA,NA,NA
436.3063,NA,NA,NA,NA,Positive,7.548384671,11.81789317,NA,NA,NA,NA
438.3219,NA,NA,NA,NA,Positive,8.188467366,12.89592719,NA,NA,NA,NA
440.2496,NA,NA,NA,NA,Positive,0,2,NA,NA,NA,NA
440.3376,NA,NA,NA,NA,Positive,9.266501378,14.00764976,NA,NA,NA,NA
442.3532,NA,NA,NA,NA,Positive,10.37822395,15.08568377,NA,NA,NA,NA
444.3689,NA,NA,NA,NA,Positive,11.45625797,16.19740635,NA,NA,NA,NA
