																															Class	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA
																															File type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA
																															Injection order	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Average	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	180821_Blk_FilterBlank_1	180821_Blk_MQBlk_1	180821_Blk_MQBlk_2	180821_Blk_MQBlk_3	180821_Blk_SWBlk_1	180821_Blk_SWBlk_2	180821_Blk_SWBlk_3	180821_Poo_Day1and2Poo_Full1	180821_Poo_Day1and2Poo_Full2	180821_Poo_Day1and2Poo_Full3	180821_Poo_Day1and2Poo_Full4	180821_Poo_Day1and2Poo_Full5	180821_Poo_Day1and2Poo_Full6	180821_Poo_Day1and2Poo_Fullneg1	180821_Poo_Day1and2Poo_Fullneg2	180821_Poo_Day1and2Poo_Fullneg3	180821_Poo_Day1and2Poo_Half1	180821_Poo_Day1and2Poo_Half2	180821_Poo_Day1and2Poo_Half3	180821_Poo_Day1and2Poo_Half4	180821_Poo_Day1and2Poo_Half5	180821_Poo_Day1and2Poo_Half6	180821_Poo_Day1Poo_DDAneg20	180821_Poo_Day1Poo_DDAneg35	180821_Poo_Day1Poo_DDAneg35-2	180821_Poo_Day1Poo_DDAneg50	180821_Poo_MesoScopeQC_1	180821_Poo_MesoScopeQC_2	180821_Poo_MesoScopeQC_3	180821_Poo_MesoScopeQC_4	180821_Poo_MesoScopeQC_5	180821_Poo_MesoScopeQC_6	180821_Smp_MS4C1DCM_A	180821_Smp_MS4C1DCM_B	180821_Smp_MS4C1DCM_C	180821_Smp_MS4C115m_A	180821_Smp_MS4C115m_B	180821_Smp_MS4C115m_C	180821_Smp_MS4C1175m_A	180821_Smp_MS4C1175m_B	180821_Smp_MS4C1175m_C	180821_Smp_MS5C1DCM_A	180821_Smp_MS5C1DCM_B	180821_Smp_MS5C1DCM_C	180821_Smp_MS5C115m_A	180821_Smp_MS5C115m_B	180821_Smp_MS5C115m_C	180821_Smp_MS5C1175m_A	180821_Smp_MS5C1175m_B	180821_Smp_MS5C1175m_C	180821_Smp_MS6C3DCM_A	180821_Smp_MS6C3DCM_B	180821_Smp_MS6C3DCM_C	180821_Smp_MS6C315m_A	180821_Smp_MS6C315m_B	180821_Smp_MS6C315m_C	180821_Smp_MS6C3175m_A	180821_Smp_MS6C3175m_B	180821_Smp_MS6C3175m_C	180821_Smp_MS7C1DCM_A	180821_Smp_MS7C1DCM_B	180821_Smp_MS7C1DCM_C	180821_Smp_MS7C115m_A	180821_Smp_MS7C115m_B	180821_Smp_MS7C115m_C	180821_Smp_MS7C1175m_A	180821_Smp_MS7C1175m_B	180821_Smp_MS7C1175m_C	180821_Smp_MS8C1DCM_A	180821_Smp_MS8C1DCM_B	180821_Smp_MS8C1DCM_C	180821_Smp_MS8C115m_A	180821_Smp_MS8C115m_B	180821_Smp_MS8C115m_C	180821_Smp_MS8C1175m_A	180821_Smp_MS8C1175m_B	180821_Smp_MS8C1175m_C	180821_Smp_MS9C2DCM_A	180821_Smp_MS9C2DCM_B	180821_Smp_MS9C2DCM_C	180821_Smp_MS9C215m_A	180821_Smp_MS9C215m_B	180821_Smp_MS9C215m_C	180821_Smp_MS9C2175m_A	180821_Smp_MS9C2175m_B	180821_Smp_MS9C2175m_C	180821_Smp_MS10C2DCM_A	180821_Smp_MS10C2DCM_B	180821_Smp_MS10C2DCM_C	180821_Smp_MS10C215m_A	180821_Smp_MS10C215m_B	180821_Smp_MS10C215m_C	180821_Smp_MS10C2175m_A	180821_Smp_MS10C2175m_B	180821_Smp_MS10C2175m_C	180821_Smp_MS11C2DCM_A	180821_Smp_MS11C2DCM_B	180821_Smp_MS11C2DCM_C	180821_Smp_MS11C215m_A	180821_Smp_MS11C215m_B	180821_Smp_MS11C215m_C	180821_Smp_MS11C2175m_A	180821_Smp_MS11C2175m_B	180821_Smp_MS11C2175m_C	180821_Smp_MS12C1DCM_A	180821_Smp_MS12C1DCM_B	180821_Smp_MS12C1DCM_C	180821_Smp_MS12C115m_A	180821_Smp_MS12C115m_B	180821_Smp_MS12C115m_C	180821_Smp_MS12C1175m_A	180821_Smp_MS12C1175m_B	180821_Smp_MS12C1175m_C	180821_Smp_MS13C2DCM_A	180821_Smp_MS13C2DCM_B	180821_Smp_MS13C2DCM_C	180821_Smp_MS13C315m_A	180821_Smp_MS13C315m_B	180821_Smp_MS13C315m_C	180821_Smp_MS13C2175m_A	180821_Smp_MS13C2175m_B	180821_Smp_MS13C2175m_C	180821_Smp_MS14C2DCM_A	180821_Smp_MS14C2DCM_B	180821_Smp_MS14C2DCM_C	180821_Smp_MS14C215m_A	180821_Smp_MS14C215m_B	180821_Smp_MS14C215m_C	180821_Smp_MS14C2175m_A	180821_Smp_MS14C2175m_B	180821_Smp_MS14C2175m_C	180821_Std_4uMStdsMix1InH2O_1	180821_Std_4uMStdsMix1InH2O_2	180821_Std_4uMStdsMix1InH2O_3	180821_Std_4uMStdsMix1InMatrix_1	180821_Std_4uMStdsMix1InMatrix_2	180821_Std_4uMStdsMix1InMatrix_3	180821_Std_4uMStdsMix2InH2O_1	180821_Std_4uMStdsMix2InH2O_2	180821_Std_4uMStdsMix2InH2O_3	180821_Std_4uMStdsMix2InMatrix_1	180821_Std_4uMStdsMix2InMatrix_2	180821_Std_4uMStdsMix2InMatrix_3	180821_Std_H2OInMatrix_1	180821_Std_H2OInMatrix_2	180821_Std_H2OInMatrix_3	1	1
0	14.546	79.95612	Unknown	[M-H]-		0.952	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	344.05	180821_Poo_Day1Poo_DDAneg20	79.95624:6748722 80.95959:262600 81.96295:593620	56.8507:1818 60.29268:1830 61.85484:1966 63.27861:1876 63.49279:1682 74.63995:1808 78.91779:74696 78.95802:3559 78.96569:2076 79.02921:3007 79.77277:2926 79.91789:5170 79.95625:2232244 79.99339:4487 80.1405:2810	5688086	534929	112005	1408299	155890368	144779952	216303152	209933472	159376640	162408800	158457696	254460944	260461968	131754328	127410776	129784872	114214400	80920288	92745232	90671472	141785216	150185680	161025120	159014000	171109552	162922128	239499088	209719760	174187264	164448720	264775232	273177504	150489808	150035744	146587776	260134656	215742688	230465840	172998272	138455856	117284816	125961376	235365616	204523984	129474784	154345648	134553408	152358032	103537736	220204544	183854592	172301600	171243648	135851840	121342440	117888208	227598432	217997664	257451136	145834832	126931288	164097168	146372368	264604976	147769600	126742728	176964000	119878080	235182816	198957120	143797008	135601744	183154288	237801888	269610560	194362144	228898384	255978688	174360784	226131120	139950080	210974848	145861888	237802624	137104880	149276432	199433888	177315584	194244384	202241648	222947952	124381016	208486112	191582384	131208368	147095936	134895824	204199088	131610960	166923840	138386256	144209744	111786568	114148464	140277728	110273224	125234368	265957200	219802848	124946664	131039088	196881456	103669240	142619024	100234600	116326408	149928272	121559840	125786104	141454496	122180872	119970256	149939136	189343424	214328000	206423728	129845064	108320000	117869864	176076032	142857520	0	0	0	205412848	220289312	309395776	2080696	1875551	2225118	240259152	220826784	313677472	232281520	205407008	295498048	161155419.046393	65500089.7054972
1	8.33	80.8774	Unknown	[M-H]-	adduct linked to 361_[2M+Hac-H]-	0.356	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2937.63	180821_Smp_MS9C2DCM_A	80.8774:415917 81.88075:0 82.88411:0		0	0	50080	0	65694	789162	2797814	60908	0	660836	2778754	1584922	1990725	868326	2040873	3523692	0	0	206708	400813	548823	1799262	1585177	1213449	2364272	134969	0	50237	320523	777033	4567866	8334426	398816	0	619683	48634	2260820	1839007	52829	235104	1634958	969426	0	3000787	3882546	190363	484700	0	0	2966049	144565	72131	1885828	443133	1465056	1065565	7101010	1849276	0	2032880	177921	3659582	610080	69348	550624	177396	179906	72120	109338	2402251	0	726758	98688	3978041	6084644	963081	1636740	5201134	538166	5764164	1128076	5728382	63047	3687972	445155	49079	1422130	2671384	890967	76811	3858246	310460	2777011	2049122	181463	1954537	0	2378825	408533	0	45330	4157643	144459	541582	0	1238235	1210115	1068658	50872	2275091	49041	2371286	470946	128911	173890	982847	2551176	0	672776	59930	65312	167451	0	2157812	709587	2726619	2054078	440494	743158	4119711	239034	0	0	0	0	4187443	287478	0	0	0	75592	5282012	334782	0	5173246	3887253	1288243.40587543	1677871.93725212
2	8.835	80.91561	Unknown	[M-H]-	adduct linked to 209_[M+K-2H]-	0.986	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	1128.56	180821_Poo_Day1Poo_DDAneg20	80.91571:1822237 81.91906:0 82.92242:0	58.40434:1600 61.47463:1681 63.23211:1494 63.68576:1837 64.43646:1966 66.47866:1646 67.91472:1875 79.95633:8514 80.72906:2580 80.87727:5664 80.91571:1474682 80.95277:3799 80.96406:55974 81.04472:5288	41056956	37702820	15103434	44372888	2387711232	3210453760	4563847680	2531441408	58922664	3059014656	3709976320	13226888	16609414	4366978048	4327888896	5161204	1478038528	1502406016	1864985088	2192370944	3074300160	3373934592	21061328	3683342336	2770120704	3677849344	3257055488	21383090	3195141376	3638059008	22055416	18688092	2646992640	2333804032	3220265216	3003250432	4570504192	5814569984	2736530432	10318303	3069714432	3102930688	2657933824	36061180	3292950016	2826288384	2809989888	2387876096	2355458048	18933624	3086861568	3125082112	4045516544	9908812	2740862720	2692437504	11508418	4441527808	2686445568	3263331072	2665114112	4133726720	3228963584	2871930624	3289615104	2614950144	3203243520	2210222848	5917094400	4085495808	2259050496	2793926656	3178030336	13356244	35772128	4137267712	4771611648	35663684	11881126	20480098	3156636160	22005474	2555008512	22842702	2441529600	2461478656	4059847168	14508977	3989048064	3233648128	5321072640	2865529600	6567330	4093196288	2543889408	3730848768	2120878080	4238399744	2554751488	2465046016	2490734848	3517628160	2452220416	2526177280	2159608832	3002162688	3378880000	34007956	4645622272	10294811	2205997568	20184052	2501878528	2636597760	2356259840	2720807680	3703942400	2109477120	3138304256	2308308480	2071014656	2596920832	2424427264	3966980864	4526470144	31174314	2986044416	2620079104	2744653312	3627922432	42017296	1152437	1163289	849306	2620361216	5049481728	15099863	37591904	65600924	98219240	2789985792	9858031	8862341	2686593792	4771317248	7781089792	2329084038.31978	1647176626.51104
3	11.142	80.91562	Unknown	[M-H]-		0.315	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	7.26	180821_Poo_Day1Poo_DDAneg35-2	80.91557:588694 81.91892:0 82.92228:0	52.99976:1798 56.92712:1419 57.96721:1964 64.47501:1626 79.95612:9100 80.91557:514318 80.96391:6445 81.04459:4035 81.39639:1591	1651701	1915968	3040446	375744	6300141	4635001	3851121	4397676	3340016	4067828	11242807	5514964	10509896	500829	1353852	2037272	1245222	3633538	5524320	7626046	15633723	9911389	3416860	2501221	3135981	2448109	6353013	4065409	2662447	5826628	7440027	13458355	2613344	4796146	5336886	2160489	12046573	6803804	5912332	4267684	2669393	1858575	2026291	4609874	7309156	5390002	4185117	5644556	2716218	11847682	2556722	7361669	5259104	5252561	5672702	3108518	6919901	5027290	17750794	3156337	5095099	5414704	4826771	3441214	3174938	3791744	4910290	2348734	5016912	7704946	6161120	3778457	5556330	13856706	13085340	6604244	8112804	7409461	4279862	2882284	3990949	7839048	7469237	9041323	4276398	2643544	5446764	17987658	8687729	8723420	9322384	5544381	11090405	6615389	2813579	2538882	13157493	6027490	2047120	2303593	5843977	1001686	4429416	7124034	1717934	6347806	3222649	9779666	2727935	5514889	7933006	8265104	3455772	3328202	5067066	8750184	4723987	1682171	4098440	2736474	6623778	4093405	7354036	8196198	5094468	4894868	6405665	2253381	7122703	5013770	5148646	150608	667101	2279120	7827246	6895132	19418444	246726	2141566	1180442	2095988	5427598	23933100	1633154	9285170	15435829	5667565.43268408	3943841.94538971
4	14.52	81.95184	Unknown	[M-2H]2-	adduct linked to 516_[2M+Hac-H]-	0.904	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	7401.52	180821_Poo_Day1Poo_DDAneg35	81.95193:525693 82.95528:0 83.95864:0	59.83892:1438 60.64212:1749 65.01327:1762 65.4548:1504 66.42316:1406 80.91565:104365 80.95557:19605 80.96126:2134 80.96397:41435 81.04465:9744 81.38908:1762 81.95197:213154 81.96042:26403 82.02866:9752 82.03981:5742	0	0	0	0	7674630	8827940	7000108	5616668	9763703	10604389	4763698	15096448	15869269	2709830	1638564	1311894	6236864	5088588	4417148	5432311	7980401	8696200	2175846	4572180	3278137	3781984	15190990	4093311	10774344	10581584	16227234	17373182	5474622	8979479	8154081	16402600	13270244	14983949	4011713	9213202	7044582	7975616	6259410	12513757	5329684	6194020	3247522	8885972	5584470	13308542	7174740	9213702	10567687	8114744	7767088	3345032	10754123	13054560	10292614	8185458	8177958	9821335	9683892	16586308	8045400	7450604	9344775	4649819	6907540	7004377	9582747	8108098	10756236	14634774	10430266	8993901	13704046	6311782	7398042	9570069	8808281	9956679	9031441	14421562	8459074	9825097	12480911	11295290	6787542	13068724	13741982	4890772	8215578	5060280	8550375	10179602	5921150	12369385	1078842	10375250	8154274	7121744	7319330	6686834	5736212	5575404	7269166	10857191	13640048	6053278	3248763	4656374	2660249	3853358	6165812	6988782	6488522	7665998	7307289	3817098	4357259	6427652	4448452	6054353	13368641	13035554	8597075	2897637	7419914	11092431	7353584	53979	0	0	11879796	14155281	17243914	48527	0	0	9113150	10187848	10970688	4578300	13881887	18306522	7948620.65806935	4239433.81800351
