																															Class	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA
																															File type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA
																															Injection order	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Average	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	180821_Blk_FilterBlank_1	180821_Blk_MQBlk_1	180821_Blk_MQBlk_2	180821_Blk_MQBlk_3	180821_Blk_SWBlk_1	180821_Blk_SWBlk_2	180821_Blk_SWBlk_3	180821_Poo_Day1and2Poo_Full1	180821_Poo_Day1and2Poo_Full2	180821_Poo_Day1and2Poo_Full3	180821_Poo_Day1and2Poo_Full4	180821_Poo_Day1and2Poo_Full5	180821_Poo_Day1and2Poo_Full6	180821_Poo_Day1and2Poo_Fullpos1	180821_Poo_Day1and2Poo_Fullpos2	180821_Poo_Day1and2Poo_Fullpos3	180821_Poo_Day1and2Poo_Half1	180821_Poo_Day1and2Poo_Half2	180821_Poo_Day1and2Poo_Half3	180821_Poo_Day1and2Poo_Half4	180821_Poo_Day1and2Poo_Half5	180821_Poo_Day1and2Poo_Half6	180821_Poo_Day1Poo_DDApos20	180821_Poo_Day1Poo_DDApos35	180821_Poo_Day1Poo_DDApos35-2	180821_Poo_Day1Poo_DDApos50	180821_Poo_MesoScopeQC_1	180821_Poo_MesoScopeQC_2	180821_Poo_MesoScopeQC_3	180821_Poo_MesoScopeQC_4	180821_Poo_MesoScopeQC_5	180821_Poo_MesoScopeQC_6	180821_Smp_MS4C1DCM_A	180821_Smp_MS4C1DCM_B	180821_Smp_MS4C1DCM_C	180821_Smp_MS4C115m_A	180821_Smp_MS4C115m_B	180821_Smp_MS4C115m_C	180821_Smp_MS4C1175m_A	180821_Smp_MS4C1175m_B	180821_Smp_MS4C1175m_C	180821_Smp_MS5C1DCM_A	180821_Smp_MS5C1DCM_B	180821_Smp_MS5C1DCM_C	180821_Smp_MS5C115m_A	180821_Smp_MS5C115m_B	180821_Smp_MS5C115m_C	180821_Smp_MS5C1175m_A	180821_Smp_MS5C1175m_B	180821_Smp_MS5C1175m_C	180821_Smp_MS6C3DCM_A	180821_Smp_MS6C3DCM_B	180821_Smp_MS6C3DCM_C	180821_Smp_MS6C315m_A	180821_Smp_MS6C315m_B	180821_Smp_MS6C315m_C	180821_Smp_MS6C3175m_A	180821_Smp_MS6C3175m_B	180821_Smp_MS6C3175m_C	180821_Smp_MS7C1DCM_A	180821_Smp_MS7C1DCM_B	180821_Smp_MS7C1DCM_C	180821_Smp_MS7C115m_A	180821_Smp_MS7C115m_B	180821_Smp_MS7C115m_C	180821_Smp_MS7C1175m_A	180821_Smp_MS7C1175m_B	180821_Smp_MS7C1175m_C	180821_Smp_MS8C1DCM_A	180821_Smp_MS8C1DCM_B	180821_Smp_MS8C1DCM_C	180821_Smp_MS8C115m_A	180821_Smp_MS8C115m_B	180821_Smp_MS8C115m_C	180821_Smp_MS8C1175m_A	180821_Smp_MS8C1175m_B	180821_Smp_MS8C1175m_C	180821_Smp_MS9C2DCM_A	180821_Smp_MS9C2DCM_B	180821_Smp_MS9C2DCM_C	180821_Smp_MS9C215m_A	180821_Smp_MS9C215m_B	180821_Smp_MS9C215m_C	180821_Smp_MS9C2175m_A	180821_Smp_MS9C2175m_B	180821_Smp_MS9C2175m_C	180821_Smp_MS10C2DCM_A	180821_Smp_MS10C2DCM_B	180821_Smp_MS10C2DCM_C	180821_Smp_MS10C215m_A	180821_Smp_MS10C215m_B	180821_Smp_MS10C215m_C	180821_Smp_MS10C2175m_A	180821_Smp_MS10C2175m_B	180821_Smp_MS10C2175m_C	180821_Smp_MS11C2DCM_A	180821_Smp_MS11C2DCM_B	180821_Smp_MS11C2DCM_C	180821_Smp_MS11C215m_A	180821_Smp_MS11C215m_B	180821_Smp_MS11C215m_C	180821_Smp_MS11C2175m_A	180821_Smp_MS11C2175m_B	180821_Smp_MS11C2175m_C	180821_Smp_MS12C1DCM_A	180821_Smp_MS12C1DCM_B	180821_Smp_MS12C1DCM_C	180821_Smp_MS12C115m_A	180821_Smp_MS12C115m_B	180821_Smp_MS12C115m_C	180821_Smp_MS12C1175m_A	180821_Smp_MS12C1175m_B	180821_Smp_MS12C1175m_C	180821_Smp_MS13C2DCM_A	180821_Smp_MS13C2DCM_B	180821_Smp_MS13C2DCM_C	180821_Smp_MS13C315m_A	180821_Smp_MS13C315m_B	180821_Smp_MS13C315m_C	180821_Smp_MS13C2175m_A	180821_Smp_MS13C2175m_B	180821_Smp_MS13C2175m_C	180821_Smp_MS14C2DCM_A	180821_Smp_MS14C2DCM_B	180821_Smp_MS14C2DCM_C	180821_Smp_MS14C215m_A	180821_Smp_MS14C215m_B	180821_Smp_MS14C215m_C	180821_Smp_MS14C2175m_A	180821_Smp_MS14C2175m_B	180821_Smp_MS14C2175m_C	180821_Std_4uMStdsMix1InH2O_1	180821_Std_4uMStdsMix1InH2O_2	180821_Std_4uMStdsMix1InH2O_3	180821_Std_4uMStdsMix1InMatrix_1	180821_Std_4uMStdsMix1InMatrix_2	180821_Std_4uMStdsMix1InMatrix_3	180821_Std_4uMStdsMix2InH2O_1	180821_Std_4uMStdsMix2InH2O_2	180821_Std_4uMStdsMix2InH2O_3	180821_Std_4uMStdsMix2InMatrix_1	180821_Std_4uMStdsMix2InMatrix_2	180821_Std_4uMStdsMix2InMatrix_3	180821_Std_H2OInMatrix_1	180821_Std_H2OInMatrix_2	180821_Std_H2OInMatrix_3	1	1
0	8.658	80.13158	Unknown	[M+H]+	adduct linked to 134_[M+K]+	0.801	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	162.24	180821_Blk_FilterBlank_1	80.13158:525360 81.13493:20836 82.13829:0		9435459	3969756	3949540	7117797	3614436	3959061	7219816	4840652	3042111	3688524	3488817	3674216	4961182	1230081	898015	1782291	2412032	1583380	1893373	1826715	3788353	3981336	2256356	437116	263152	500829	1975854	2487105	3534334	3509388	4569660	2809591	4035848	2923366	3552788	3331835	7464884	5042258	2992899	3969663	4223444	2939192	4576886	10145454	2847047	3686865	3529388	3306954	3619868	8354434	3866000	3836514	2420648	3673871	3601427	3765034	4652770	7468592	4827936	3491786	3639272	2371680	3397182	3759841	3344186	3709977	3389405	4002004	7828638	6285846	3183419	3682438	3920646	3059762	9176171	13803928	9874067	5628018	3687504	9978412	3428978	3305146	3665522	3708631	4042046	3031512	5283796	8222561	4964497	1950266	21803	3458131	4413545	7356415	4110056	4688476	2795050	2804604	3993798	3324052	4017953	2284930	4088152	3856166	3267227	4920067	2452728	4413584	5562208	4759284	2905742	4417578	3625574	3835465	3826818	3583272	4552985	3037708	2735369	3447838	4316663	3701172	2949939	10026277	6380668	8197996	3709261	3559836	1842320	7498610	3118028	0	6193	5448	4442635	3811973	4952240	0	13360	0	4548200	2958184	5468692	4821260	2063487	4292018	3982290.15659782	2218840.9501249
1	9.184	80.9485	Unknown	[M+H]+		0.411	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	48.66	180821_Smp_MS7C115m_B	80.9485:421097 81.95185:0 82.95521:139149		3223591	703040	717259	1036331	2714375	736990	5177275	15031230	10281	658401	657544	921335	5203502	382746	402665	346302	14977090	4830	777017	1451455	4574180	1924230	253469	317108	146130	419746	5659	5990	1411220	1687381	1848608	171124	547990	5829	1154884	15376302	2413238	761102	4896	1989335	1226260	5868749	16217881	3113910	2445070	3650	1742698	529328	668726	671990	5365	526332	3802622	5121	2134498	1940308	1290506	2509464	17261452	1782897	2053034	2342966	1240767	18314490	1910872	1645206	872258	4973	1083330	3795736	6199	2578644	1081270	5418745	652097	3094121	610812	1138512	453188	4848946	443924	1117310	527271	5861891	412618	7732	1842336	1157699	4867486	815597	3975816	1912969	222409	2638990	420344	3331848	50733	3901224	489142	715413	750079	6271439	411178	2407786	9325	3283678	2910446	3565698	3318570	2720896	6770	5761576	1611693	367961	582480	629975	1440077	10872	2499683	472020	1480033	1605788	629210	4012428	2755473	2127826	780509	1330031	777706	991617	1172002	2571462	1824798	1994615	13834543	5059011	2024627	31631	111729	111549	9286816	1306126	2394619	15013428	4372323	312505	2456863.26775705	3615415.05916996
2	11.156	82.01432	Unknown	[M+H]+	adduct linked to 158_[M+ACN+H]+	0.377	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	23.35	180821_Poo_Day1Poo_DDApos50	82.01431:437955 83.01766:60276 84.02102:77014	51.01993:1908 54.03463:10796 55.51149:1573 59.23058:1683 61.05592:1501 61.75698:1514 63.90554:1737 64.99727:5602 66.64357:1652 80.0501:2479 81.04536:13964 81.05334:5362 81.07041:3251 82.02363:4032 82.05305:1950 82.06558:5363	17624258	2523500	2372808	6243220	3095309	4569225	11655578	5748	10022709	7753853	7752040	13650317	6741078	892730	1241004	2110858	3710	10896778	6797862	6824629	26208580	5326218	3111858	3474301	2020317	6167470	9141047	11994068	11135796	4923912	10651861	9670618	15203335	6426885	4568621	3391	6755992	7179928	7004493	6159588	14223912	332051	8842	14537210	4909908	13083442	4876121	5453252	8013103	6172766	22573074	15867013	415265	10647554	4375409	5312526	7185364	8403667	5063	7468192	5611555	5668352	5008054	3358	7742732	7696154	17341094	18266636	4547953	8419743	6412053	3680986	8883553	5798888	17493080	5798826	13658014	5514926	10692931	7422070	8749867	5899686	10255980	5489990	16673108	22179378	12731390	12773892	9653480	10613888	10348507	12898843	14027975	18430460	13193968	3303501	6793306	13037773	7678266	6486218	18994964	544150	8477963	4157476	6716158	7683145	3659165	11835760	14395800	11449394	18093066	6296660	11507681	10230993	5396784	10845258	10708939	12376395	7541946	6029710	6407570	8600069	12693683	13427299	2823904	8102196	9921493	6809582	4863996	12161276	10400845	8568	196070	1754585	0	815320	2574460	14277	210066	3155570	4665	1084574	2537355	2512	1088519	3152436	7673986.03253257	5345895.82194443
3	14.32	82.01433	Unknown	[M+H-H2O]+	adduct linked to 58_[M+H]+	0.219	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	21.34	180821_Smp_MS12C115m_B	82.01433:1182869 83.01768:202054 84.02104:176662		15675129	5956166	6622807	14665521	8262200	8865223	10021657	9743	11692387	9152325	11373354	16528318	30721042	1750918	1971586	710995	7835	11916322	4019052	17411618	19433680	3395570	2239046	496820	2672110	2673332	12424515	2412467	10034576	6709738	14132991	6507708	10163186	8161640	8748392	3890	4779647	10462352	9024090	10234665	14684713	329267	3088	7530028	3335777	21463616	8513018	10243279	3606886	5965436	15135122	17123898	205694	22114484	7587238	6129012	10060574	6756224	3391	1972147	8661765	9457218	2470765	114275	7116137	14547667	15082802	5806720	5578001	11095253	5829466	3755554	8802489	6361176	40716636	8044635	8618241	3645729	15684163	436704	6207858	6121692	17563708	1000748	13306740	17280258	11268999	10586015	7064523	14508131	12686724	21808652	11336239	12720211	23520954	3285767	3961230	8381414	6347864	1612500	11196730	264282	3769980	2935870	10921497	12003724	5195424	27280672	42516556	11821164	3272620	6539957	10987325	17794392	7560543	6795686	11331794	9117648	7798199	8732174	3120201	3394432	6302104	15779959	3181420	10201864	4554674	12705314	12262545	27301702	2404827	8232	368724	1248720	3867	1012429	821629	3614	392777	1816120	7132	181009	196862	8225	103978	5777892	8343833.00486442	7464852.79479695
4	9.332	82.01437	Unknown	[M+H]+	adduct linked to 360_[M+2ACN+H]+	0.205	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	9.42	180821_Smp_MS10C215m_A	82.01437:349813 83.01772:42433 84.02108:74903		2788469	15967427	2655509	3682875	7556768	4460540	375704	5234	19978430	8396943	5946054	490199	49512	267317	831147	445501	4619	18819476	11964333	4927638	183962	198331	1642268	442071	128524	413187	20585966	10669103	11758917	3715250	400495	518087	11168373	17444730	6569628	7404	183397	54047	10873750	11241560	818710	20778	6503	232689	184408	12289633	7544952	9795412	10473769	53658	16403042	14643884	3107	10819763	4314859	5134668	364755	100096	6981	6715065	4985972	293451	6277390	9464	3666168	8083186	15719917	15181682	47887	592443	13949431	3789073	13486234	159791	464366	1562613	545968	173267	20366588	230283	9757913	157625	15750267	57249	13477826	19802460	6889762	333937	128501	23659436	70920	6211582	549009	701654	22422730	121075	6387258	405570	11468846	11527288	5581141	10643	12733907	2918333	15316497	408320	788994	236443	209175	206782	8635476	310166	8196218	6698122	9997575	3693517	137772	21875726	583496	11787482	14931784	9964618	14310442	132680	3338747	152006	6678048	3708100	10587065	1070231	16320776	4456	158502	555736	7329	33671	54137	10283	120057	594645	5749	11155	5776	5872	10428	65976	5276504.21082714	6418132.31876791
