"feature","mzmed","rtmed","adduct_type"
"FT0007",61.0848730845941,312.925262451171,"C13"
"FT0028",75.1004451578595,540.361511230469,"C13"
"FT0037",77.0733815698439,311.51123046875,"N15"
"FT0038",77.0796731070098,312.069213867188,"C13"
"FT0040",78.0806044439337,311.703460693359,"O18"
"FT0044",82.0143621169024,467.335342407227,"mH2OpH"
"FT0064",86.0606231643725,613.540741298828,"mH2OpH"
"FT0079",88.0479407165885,161.717483520508,"C13"
"FT0080",88.0479528818811,403.028701782226,"C13"
"FT0086",90.037721736954,168.920532226562,"C13"
"FT0095",91.0888778200668,292.209716796875,"N15"
"FT0096",91.0951857412567,323.252838134766,"C13"
"FT0098",92.0960361730188,291.27587890625,"O18"
"FT0132",100.024810388716,1180.00524902344,"mH2OpH"
"FT0163",105.110737332191,552.148109572266,"C13"
"FT0164",105.110738917546,633.675170898438,"C13"
"FT0167",106.075206187542,410.707122802734,"O18"
"FT0189",113.047949837814,391.211456298828,"N15"
"FT0190",113.054220041634,290.355270385742,"C13"
"FT0191",113.054215961578,323.539413452149,"C13"
"FT0208",115.095032287515,123.989318847656,"C13"
"FT0221",117.074231232415,448.125,"C13"
"FT0226",118.05201212321,324.179504394531,"C13"
"FT0238",119.052849356816,324.129272460938,"O18"
"FT0242",119.083537628621,344.842346191406,"N15"
"FT0243",119.089837436047,344.417495727539,"C13"
"FT0248",120.081042345954,262.968872070312,"NH4"
"FT0249",120.090725877672,344.703308105469,"O18"
"FT0250",120.093156448181,344.702880859375,"C13"
"FT0254",121.039911327442,189.819213867188,"mH2OpH"
"FT0266",122.031568251363,414.542984008789,"S33"
"FT0267",122.035384565863,414.705786810547,"C13"
"FT0268",122.04323510564,190.335815429688,"C13"
"FT0269",122.043172113881,425.441986083984,"C13"
"FT0277",123.027880636247,414.702162,"S34"
"FT0278",123.040505414001,766.230588652344,"mH2OpH"
"FT0285",124.004057830953,1190.5376586914,"N15"
"FT0288",124.041335876907,1176.02587890625,"mH2OpH"
"FT0289",124.041337127248,467.652923583984,"mH2OpH"
"FT0290",124.041327831343,767.035034179688,"mH2OpH"
"FT0295",124.100250336383,344.132110595703,"C13"
"FT0296",124.118099117775,450.158386230469,"C13"
"FT0298",125.03805932449,466.17626953125,"N15"
"FT0299",125.038072688709,766.8916015625,"N15"
"FT0300",125.042749619693,200.727081298828,"C13"
"FT0312",127.063470651407,263.20118713379,"N15"
"FT0317",128.069884717696,320.472518920898,"N15"
"FT0319",128.073089599609,262.4267578125,"X2C13"
"FT0332",130.069365337692,498.923406236328,"C13"
"FT0339",131.053428914316,597.437347412109,"C13"
"FT0340",131.053453707339,647.3203125,"C13"
"FT0341",131.06836199771,119.620651245118,"C13"
"FT0358",133.069076211052,573.521484375,"C13"
"FT0360",133.080208319166,573.084228515625,"C13"
"FT0365",133.099274342521,475.633148193359,"N15"
"FT0366",133.105389129918,475.354553222656,"C13"
"FT0367",133.105405527253,305.492340087891,"C13"
"FT0370",134.02484647458,787.906005859375,"N15"
"FT0371",134.027302493521,787.7890625,"S33"
"FT0373",134.035214670083,377.230773925781,"C13"
"FT0379",134.106230278321,475.362731933594,"O18"
"FT0383",135.023640135424,787.560974121094,"S34"
"FT0385",135.032047999511,787.779907226562,"O18"
"FT0390",136.047028484695,492.590240478516,"S33"
"FT0391",136.050830954959,492.597442626953,"C13"
"FT0399",137.043274085914,492.605987548828,"S34"
"FT0404",137.051584127184,493.492263793945,"O18"
"FT0405",137.054366435469,491.997192382812,"C13"
"FT0407",137.058891309624,190.984725952148,"N15"
"FT0410",137.065210439917,231.506042480469,"C13"
"FT0417",138.042932143365,364.25114440918,"N15"
"FT0418",138.046748540417,492.586151123047,"C13"
"FT0419",138.049194710843,289.39826965332,"C13"
"FT0424",138.16685359391,129.186706542969,"C13"
"FT0436",139.058379926416,378.901214599609,"C13"
"FT0437",139.058370187204,259.854583740234,"C13"
"FT0438",139.05922368258,231.532440185547,"C13"
"FT0445",140.047236539394,420.724884033203,"N15"
"FT0448",140.059145457862,377.834609985351,"O18"
"FT0452",141.00649815987,576.077006123047,"mH2OpH"
"FT0458",142.033433413564,445.836822509766,"S34"
"FT0461",143.003716844213,575.336975097656,"N15"
"FT0462",143.003646850586,564.110717773438,"N15"
"FT0469",144.078720092773,472.593536376953,"N15"
"FT0470",144.084900909354,471.690032958984,"C13"
"FT0471",144.08496204994,418.976135253906,"C13"
"FT0487",145.088596875569,470.744079589844,"X2C13"
"FT0488",145.105315687313,300.064331054688,"C13"
"FT0489",145.105325936295,461.640075683594,"C13"
"FT0492",145.985529514045,182.672439575195,"C13"
"FT0512",147.120983431312,497.174224853516,"C13"
"FT0515",147.983680257708,183.402488708496,"C13"
"FT0519",148.050821757233,415.994750976562,"C13"
"FT0521",148.079825302987,596.857818603516,"C13"
"FT0529",149.043338245652,415.987365722656,"S34"
"FT0531",149.063905803726,648.817443847656,"C13"
"FT0532",149.100286141691,409.074011952148,"C13"
"FT0533",149.109379949482,531.848510742188,"C13"
"FT0534",149.109287648441,518.474554335937,"C13"
"FT0547",151.07470704026,187.301689147949,"N15"
"FT0548",151.080696195944,187.301689147949,"C13"
"FT0555",152.067618806785,199.244522094727,"Na"
"FT0560",152.147539164077,311.856872558594,"C13"
"FT0564",153.060079274191,401.879496,"C13"
"FT0568",153.077215695167,358.683380126953,"NH4"
"FT0573",154.077158711189,193.51823425293,"C13"
"FT0575",154.980255808122,556.433410644531,"N15"
"FT0581",156.051406642906,401.696380615234,"N15"
"FT0582",156.05750180676,401.879496,"C13"
"FT0584",156.084958718632,437.749282836914,"C13"
"FT0585",156.984078005404,570.8056640625,"mH2OpH"
"FT0609",160.07977487089,589.871643066406,"C13"
"FT0619",161.014303832553,573.48828125,"N15"
"FT0625",161.100219726562,417.611206054688,"C13"
"FT0626",161.100285770846,370.384201049805,"C13"
"FT0628",161.136625850464,429.123916625976,"C13"
"FT0633",162.1006255505,420.732635498047,"O18"
"FT0640",163.115835367035,492.459823608398,"C13"
"FT0641",163.115840714045,402.508941650391,"C13"
"FT0656",165.132481847703,530.437561035156,"NH4"
"FT0657",165.132524296712,532.292846679688,"NH4"
"FT0659",166.03500569085,339.288009643555,"mH2OpH"
"FT0666",166.064531782571,767.046569824219,"N15"
"FT0673",167.05379054626,415.0927734375,"S34"
"FT0674",167.056463542491,526.040344238281,"C13"
"FT0678",167.125960969588,197.010704040528,"C13"
"FT0680",168.048981715197,523.085784912109,"S34"
"FT0685",168.123130986548,137.690475463867,"NH4"
