"cmpd_id","exact_mass","cmpd_name","formula","CAS","KEGG","MSMS"
"52","161.105193351","L-Carnitine","C7H15NO3","541-15-1","C00318","experimental"
"278","101.084063979","Betaine aldehyde","C5H11NO","7418-61-3","C00576","experimental"
"287","117.078978601","Betaine","C5H11NO2","590-46-5","C00719","experimental"
"966","145.110278729","4-Trimethylammoniobutanoic acid","C7H15NO2","407-64-7","C01181",""
"7089","143.094628665","Proline betaine","C7H13NO2","","C10172","NO"
"46617","711.601303951","DGTS(16:0/16:0)","C42H81NO7","","","NO"
"46618","735.601303951","DGTS(16:0/18:2(9Z,12Z))","C44H81NO7","","","NO"
"46619","785.616954015","DGTA(18:1/22:4(10Z,13Z,16Z,19Z))","C48H83NO7","","","NO"
"66871","131.094628665","beta-Alaninebetaine","C6H13NO2","6458-06-6","C08263","NO"
"73038","177.997501013","Arsenobetaine","C5H11AsO2","64436-13-1","C19331","experimental"
"73569","174.149403889","gamma-Butyrobetaine Ethyl Ester Chloride","C9H20NO2","51963-62-3","","experimental"
"75553","727.596218573","DGCC(16:0/16:0)","C42H81NO8","","","NO"
"75554","773.580568509","DGCC(16:0/20:5)","C46H79NO8","","","NO"
"88623","208.008065699","Lactyltrimethylammonium betaine","C6H13AsO3","68688-60-8","","NO"
"93087","162.02853971","1-Piperazinecarbodithioic acid","C5H10N2S2","99-00-3","","NO"
"274636","117.078978592","Betaine","C5H11NO2","","","NO"
"309342","153.055656304","Betaine hydrochloride","C5H12ClNO2","","","NO"
"324048","135.089543276","Betaine monohydrate","C5H13NO3","","","NO"
"327365","325.09502258","Lycobetaine acetate","C18H15NO5","","","NO"
"329192","177.997501092","Arsenobetaine","C5H11AsO2","","","NO"
"368887","223.120843404","Tyrosine betaine","C12H17NO3","","","NO"
"388482","102.091889004","Betaine aldehyde","C5H12NO","","","NO"
"394090","182.992425892","Selenobetaine methyl ester","C5H11O2Se","","","NO"
"394536","281.10519334","Criasbetaine","C17H15NO3","","","NO"
"420326","326.256942948","Undecylenamidopropyl betaine","C18H34N2O3","","","NO"
"420898","132.102453688","Methylbetaine","C6H14NO2","","","NO"
"440042","137.060741684","Betaine aldehyde chloride","C5H12ClNO","","","NO"
"442357","255.110672644","Betaine salicylate","C12H17NO5","","","NO"
"454753","280.998840968","Chloral betaine [USAN:NF]","C7H14Cl3NO4","","","NO"
"463624","411.407629936","Behenyl betaine","C26H53NO2","","","NO"
"494460","301.07726434","10-(3-Sulfopropyl)acridinium betaine","C16H15NO3S","","","NO"
"519912","311.121631252","Betaine D-galacturonate","C11H21NO9","","","NO"
"523288","168.976775828","Selenobetaine","C4H9O2Se","","","NO"
"574236","301.050570924","Lycobetaine chloride","C16H12ClNO3","","","NO"
"580641","303.069526944","Betainealdehyde Diethylacetal Iodide","C9H22INO2","","","NO"
