"feature","mzmed","rtmed","avgarea","C13","X2C13","S34","S33","N15","O18","Na","NH4","H2O_H","K","X2H"
"FT0001",60.0581717542212,562.287328990235,1843263.43038,0,0,0,0,0,0,0,0,0,0,0
"FT0002",60.0644878094138,563.908081054688,6544048.37892385,0,0,0,0,0,0,0,0,0,0,0
"FT0003",60.0815353393555,552.31201171875,414718.993945842,0,0,0,0,0,0,0,0,0,0,0
"FT0004",60.081512277492,319.765716552734,2366714.30922006,0,0,0,0,0,0,0,0,0,0,0
"FT0005",61.011429289347,493.776992797852,621225.875512387,0,0,0,0,0,0,0,0,0,0,0
"FT0006",61.0403970952578,288.149597167969,16181372.753973,0,0,0,0,0,0,0,0,0,0,0
"FT0008",62.0193309457731,493.102325439453,690368.255250287,0,0,0,0,0,0,0,0,0,0,0
"FT0009",62.0607806131972,767.896697998047,88569119.7519166,2418587,0,0,0,0,0,0,0,0,0,0
"FT0010",63.02703175485,492.586151123047,4699495.57662053,0,0,0,0,0,0,0,0,0,0,0
"FT0011",68.050182416488,468.974731445312,856654.946968672,0,0,0,0,0,0,0,0,0,0,0
"FT0012",68.0501554341038,573.425811767578,280837.062681398,0,0,0,0,0,0,0,0,0,0,0
"FT0013",68.0501713428414,611.674438476562,253334.69011134,0,0,0,0,0,0,0,0,0,0,0
"FT0014",69.0341796730626,612.507397294922,774508.674800622,0,0,0,0,0,0,0,0,0,0,0
"FT0015",70.0658201288959,447.946533203125,11882445.8843583,0,0,0,0,0,0,0,0,0,0,0
"FT0016",71.0691590546849,447.705017089844,426806.713616964,0,0,0,0,0,0,0,0,0,0,0
"FT0017",72.0814604588924,421.827133178711,9657145.74264454,0,0,0,0,0,0,0,0,0,0,0
"FT0018",72.0814423043868,314.041839599609,14657972.6433534,0,0,0,0,0,0,0,0,0,0,0
"FT0019",72.081454148541,326.595336914063,6453969.99046186,0,0,0,0,0,0,0,0,0,0,0
"FT0020",73.0291050762398,492.76904296875,816531.71199278,0,0,0,0,0,0,0,0,0,0,0
"FT0021",73.0767040720375,558.742065429688,1200271.08734985,0,0,0,0,0,0,0,0,0,0,0
"FT0022",73.0847854614258,289.944610595703,443268.433675978,0,0,0,0,0,0,0,0,0,0,0
"FT0023",74.0607102002642,592.717559814453,2889598.14291508,0,0,0,0,0,0,0,0,0,0,0
"FT0024",74.0606951965403,554.105773925781,2034452.37741656,0,0,0,0,0,0,0,0,0,0,0
"FT0025",74.0970955134819,586.862609863281,38203366.6291749,0,0,0,0,0,0,0,0,0,0,0
"FT0026",74.0970887750725,540.241394042969,93420239.6753005,4226297,0,0,0,358552,0,0,0,0,0,0
"FT0027",75.0941050562316,540.800537109375,314575.671623923,0,0,0,0,0,0,0,0,0,0,0
"FT0029",76.0399688618242,624.963134765625,5518730.4403633,0,0,0,0,0,0,0,0,0,0,0
"FT0030",76.0399507331252,652.685546875,739363.166132934,0,0,0,0,0,0,0,0,0,0,0
"FT0031",76.0399408152733,249.267158508301,2076630.87076694,0,0,0,0,0,0,0,0,0,0,0
"FT0032",76.0399322509766,206.579582214355,2861675.40980897,0,0,0,0,0,0,0,0,0,0,0
"FT0033",76.039932270351,360.888366699219,1486740.96764425,0,0,0,0,0,0,0,0,0,0,0
"FT0034",76.0763258236447,311.809417724609,1030291452.63917,35591784,0,0,0,4056793,2445935,0,0,0,0,0
"FT0035",76.0763354841072,777.173889160156,1698767.08018213,0,0,0,0,0,0,0,0,0,0,0
"FT0036",76.1034513493013,449.717163085938,1102910.95307198,0,0,0,0,0,0,0,0,0,0,0
"FT0039",77.1097127085951,449.818786621094,5053541.07954396,0,0,0,0,0,0,0,0,0,0,0
"FT0041",80.0501128935253,9.60870838165283,13866635.3890611,791884,0,0,0,0,0,0,0,0,0,0
"FT0042",80.1316299210448,425.080688476562,4971182.46809825,0,0,0,0,0,0,0,0,0,0,0
"FT0043",80.980326862944,1229.87310791015,3901971.3083602,0,0,0,0,0,0,0,0,0,0,0
"FT0045",84.0449901638482,650.560241699219,7763073.80463484,0,0,0,0,0,0,0,0,0,0,0
"FT0046",84.0449936160455,596.982299804688,11768046.1752956,0,0,0,0,0,0,0,0,0,0,0
"FT0047",84.0449853916619,438.69140625,1672411.98381021,0,0,0,0,0,0,0,0,0,0,0
"FT0048",84.0449748019621,359.443603515625,11849443.7131126,0,0,0,0,0,0,0,0,0,0,0
"FT0049",84.0813429017398,842.116577148438,1208986.95445296,0,0,0,0,0,0,0,0,0,0,0
"FT0050",84.0813575541182,467.327758789062,3719582.5176211,0,0,0,0,0,0,0,0,0,0,0
"FT0051",84.0813594642816,434.416259765625,842341.741466973,0,0,0,0,0,0,0,0,0,0,0
"FT0052",84.0813710612321,962.163757324219,1161392.89083946,0,0,0,0,0,0,0,0,0,0,0
"FT0053",85.0290144261161,601.005126953125,1554360.0832436,0,0,0,0,0,0,0,0,0,0,0
"FT0054",85.0289601227809,267.810119628906,1933318.50186075,0,0,0,0,0,0,0,0,0,0,0
"FT0055",85.0289615617996,344.108001708984,4292530.6183418,0,0,0,0,0,0,0,0,0,0,0
"FT0056",85.0289712292493,218.385757446289,3945982.35136979,0,0,0,0,0,0,0,0,0,0,0
"FT0057",85.0289763985258,152.945892333984,6531874.80084623,0,0,0,0,0,0,0,0,0,0,0
"FT0058",85.0289760137153,731.361572265625,843738.253718799,0,0,0,0,0,0,0,0,0,0,0
"FT0059",85.0289883229314,473.458953857422,1439237.95062255,0,0,0,0,0,0,0,0,0,0,0
"FT0060",85.028968192131,521.814086914062,1154190.87362268,0,0,0,0,0,0,0,0,0,0,0
"FT0061",85.0483326596956,595.998168945312,527802.812914288,0,0,0,0,0,0,0,0,0,0,0
"FT0062",85.0514307068676,324.6572265625,1884355.03866136,0,0,0,0,0,0,0,0,0,0,0
"FT0063",86.0605996016604,582.999633789062,3625234.22321783,0,0,0,0,0,0,0,0,0,0,0
"FT0065",86.0718542480472,560.519348144531,791300.745562408,0,0,0,0,0,0,0,0,0,0,0
"FT0066",86.0970071500502,342.866882324219,5888766.73912271,0,0,0,0,0,0,0,0,0,0,0
"FT0067",86.0970011489524,556.770745207031,429752.145190362,0,0,0,0,0,0,0,0,0,0,0
"FT0068",87.0446037001786,495.858673095703,2336601.84045255,0,0,0,0,0,0,0,0,0,0,0
"FT0069",87.0445954199135,137.853607177734,18114299.0290006,0,0,0,0,0,0,0,0,0,0,0
"FT0070",87.0446214735487,415.609466552734,5415091.17232212,0,0,0,0,0,0,0,0,0,0,0
"FT0071",87.0446062807738,400.458435058594,6019236.08659791,0,0,0,0,0,0,0,0,0,0,0
"FT0072",87.0446333737975,613.306945800781,3818495.31180945,0,0,0,0,0,0,0,21848243,0,0,0
"FT0073",87.0446137250409,527.914611816406,2799664.93819188,0,0,0,0,0,0,0,0,0,0,0
"FT0074",87.0446120880154,586.096313476562,4451245.36548456,0,0,0,0,0,0,0,0,0,0,0
"FT0075",87.0639506618967,612.519683837891,203034.111502278,0,0,0,0,0,0,0,0,0,0,0
"FT0076",87.0940223352947,342.062316894531,3079887.01875526,0,0,0,0,0,0,0,0,0,0,0
"FT0077",88.0398766182322,660.694458007812,1097611.04730037,0,0,0,0,0,0,0,0,0,0,0
"FT0078",88.0479525974731,614.0068359375,240994.35642424,0,0,0,0,0,0,0,0,0,0,0
"FT0081",88.0762496520508,234.441040039062,10961980.6131738,0,0,0,0,0,0,0,0,0,0,0
"FT0082",88.0874880563099,558.635962525391,190016.006637794,0,0,0,0,0,0,0,0,0,0,0
"FT0083",88.112645063888,508.923614501953,4311518.12051072,0,0,0,0,0,0,0,0,0,0,0
"FT0084",89.0423874326679,603.243469238281,549323.163942554,0,0,0,0,0,0,0,0,0,0,0
"FT0085",89.0602580044197,135.084457397461,2829872.33077783,0,0,0,0,0,0,0,0,0,0,0
"FT0087",90.0555074590479,609.544189453125,10361963.9162355,0,0,0,0,0,0,0,0,0,0,0
"FT0088",90.0555117274545,577.636901855469,8816179.23264923,0,0,0,0,0,0,0,0,0,0,0
"FT0089",90.0555067665124,535.43896484375,8794057.32804665,0,0,0,0,0,0,0,0,0,0,0
"FT0090",90.0919002028268,326.768280029297,62084025.1336704,0,0,0,0,0,0,0,0,0,0,0
"FT0091",90.0918496514279,294.024703979493,122975976.462473,5455290,0,0,0,0,0,0,0,0,0,0
"FT0092",91.054752519145,197.751007080078,10956957.2427135,0,0,0,0,0,0,0,0,0,0,0
"FT0093",91.0588112813978,543.440551757812,871296.801438405,0,0,0,0,0,0,0,0,0,0,0
"FT0094",91.0588358879781,620.254272460938,205460.308782281,0,0,0,0,0,0,0,0,0,0,0
"FT0097",91.095218757875,325.843048095703,1218189.4754875,0,0,0,0,0,0,0,0,0,0,0
"FT0099",93.0452399308452,191.659439086914,1908966.30952243,0,0,0,0,0,0,0,0,0,0,0
"FT0100",93.0452295918196,409.900146484375,2873500.05305261,0,0,0,0,0,0,0,0,0,0,0
"FT0101",93.0551216694202,515.1103515625,593703.339507551,0,0,0,0,0,0,0,0,0,0,0
"FT0102",93.0703863665289,206.060195922852,4169374.08597568,0,0,0,0,0,0,0,0,0,0,0
"FT0103",93.0743183379092,578.247314453125,8435538.53820388,0,0,0,0,0,0,0,0,0,0,0
"FT0104",93.1378039441742,364.31884765625,1078901.81709391,0,0,0,0,0,0,0,0,0,0,0
"FT0105",94.0292491294335,666.200378417969,5050859.86599046,0,0,0,0,0,0,0,0,0,0,0
"FT0106",94.0405067100424,326.446044921875,1129950.93683052,0,0,0,0,0,0,0,0,0,0,0
"FT0107",94.045571576588,788.667297363281,136664476.501841,0,0,0,0,0,0,0,0,0,0,0
"FT0108",94.0455775710572,562.856475830078,113871208.117303,0,0,0,0,0,0,0,0,0,0,0
"FT0109",94.0656623241396,15.2833833694458,7204438.71577761,0,0,0,0,0,0,0,0,0,0,0
"FT0110",94.0656411043761,260.040588378906,4599566.97917514,0,0,0,0,0,0,0,0,0,0,0
"FT0111",95.0244851484402,394.84228515625,4172953.05940959,0,0,0,0,0,0,0,0,0,0,0
"FT0112",95.0244879686511,330.553955078125,6306496.96877384,0,0,0,0,0,0,0,0,0,0,0
"FT0113",95.0608688491068,425.441986083984,6139212.25977766,0,0,0,0,0,0,0,0,0,0,0
"FT0114",96.0448917742736,232.649932861328,1331452.243287,0,0,0,0,0,0,0,0,0,0,0
"FT0115",96.0448739023261,404.937774658203,3077274.7063529,0,0,0,0,0,0,0,0,0,0,0
"FT0116",96.9577799071039,1191.89282226562,13107777.5735988,0,0,0,0,0,0,0,0,0,0,0
"FT0117",96.9577802156613,1225.15209960938,8259817.85322214,0,0,0,0,0,0,0,0,0,0,0
"FT0118",97.0401392050372,160.673049926758,2850738.20188434,0,0,0,0,0,0,0,0,0,0,0
"FT0119",97.0764865753424,470.77326965332,14844573.2693364,0,0,0,0,0,0,0,0,0,0,0
"FT0120",97.0764842371472,168.912200927734,6046636.31193813,0,0,0,0,0,0,0,0,0,0,0
"FT0121",97.0844760679125,194.241149902344,488334.653820314,0,0,0,0,0,0,0,0,0,0,0
"FT0122",97.9918189774562,1176.32775878906,84970665.2331384,1832105,0,0,0,0,0,0,0,0,0,0
"FT0123",97.9918360185763,136.705604553222,8778499.81485738,0,0,0,0,0,0,0,0,0,0,0
"FT0124",97.9918050808692,466.326751708984,31112115.0965908,0,0,0,0,0,0,0,0,0,0,0
"FT0125",98.0604707655062,550.330383300781,1158534.7865153,0,0,0,0,0,0,0,0,0,0,0
"FT0126",98.0717356084643,1284.51458740234,11920375.5638463,0,0,0,0,0,0,0,0,0,0,0
"FT0127",98.0798106543506,474.395446777344,646806.381944988,0,0,0,0,0,0,0,0,0,0,0
"FT0128",98.0843773131856,477.669052124023,2339548.04370476,0,0,0,0,0,0,0,0,0,0,0
"FT0129",98.9846522538587,102.508281707764,824181.127844254,0,0,0,0,0,0,0,0,0,0,0
"FT0130",98.9846299271754,702.223205566406,909043.873346372,0,0,0,0,0,0,0,0,0,0,0
"FT0131",99.0445214992769,590.137390136719,5403023.47344165,0,0,0,0,0,0,0,0,0,0,0
"FT0133",100.039783275051,498.990844726562,1555248.42211105,0,0,0,0,0,0,0,0,0,0,0
"FT0134",101.023765563965,577.981140136719,6825354.57687369,0,0,0,0,0,0,0,0,0,0,0
"FT0135",101.071402163496,597.428955078125,4236079.75768278,0,0,0,0,0,0,0,0,0,0,0
"FT0136",101.107774004294,523.662475585938,3043525.38311612,0,0,0,0,0,0,0,0,0,0,0
"FT0137",101.107767106409,554.925903320312,2228469.27799827,0,0,0,0,0,0,0,0,0,0,0
"FT0138",102.045640928386,603.240631103516,530564.944094629,0,0,0,0,0,0,0,0,0,0,0
"FT0139",102.055402392748,649.904296875,2628872.91987393,0,0,0,0,0,0,0,0,0,0,0
"FT0140",102.055414587032,367.042358398438,3946256.66040153,0,0,0,0,0,0,0,0,0,0,0
"FT0141",102.055366060641,560.276123046875,815311.075209652,0,0,0,0,0,0,0,0,0,0,0
"FT0142",102.05538366055,359.551025390625,13738015.1900001,0,0,0,0,0,0,0,0,0,0,0
"FT0143",102.128135375275,341.23583984375,4695607.09144412,0,0,0,0,0,0,0,0,0,0,0
"FT0144",103.039396221848,723.364379882812,547151.893880806,0,0,0,0,0,0,0,0,0,0,0
"FT0145",103.050776201167,558.748718261719,2670089.76055283,0,0,0,0,0,0,0,0,0,0,0
"FT0146",103.054640375567,261.424133300781,2257470.02135128,0,0,0,0,0,0,0,22247747,0,0,0
"FT0147",103.0546350304,197.982391357422,2314562.16293593,0,0,0,0,0,0,0,0,0,0,0
"FT0148",103.087012702833,558.612609863281,2352055.10253802,0,0,0,0,0,0,0,0,0,0,0
"FT0149",103.955912761242,183.53751373291,4034262.20907265,0,0,0,0,0,0,0,0,0,0,0
"FT0150",104.053245544434,376.036529541016,2245656.06162181,0,0,0,0,0,0,0,0,0,0,0
"FT0151",104.071036757742,613.821838378906,36121729.4880302,0,0,0,0,0,0,0,0,6902954,0,0
"FT0152",104.070976278548,415.500854492188,191734961.720957,0,0,0,0,0,0,0,0,0,0,0
"FT0153",104.082268635976,565.937255859375,442614.807106951,0,0,0,0,0,0,0,0,0,0,0
"FT0154",104.107391452217,552.233795166016,127471447.237622,6881442,0,0,0,450014,0,0,0,0,0,0
"FT0155",104.107399007393,663.327056884766,58465291.581988,0,0,0,0,0,0,0,0,0,0,0
"FT0156",105.055023278158,569.621948242188,1798430.78610726,0,0,0,0,0,0,0,0,29831184,0,0
"FT0157",105.054993458237,529.873901367188,2187532.10778015,0,0,0,0,0,0,0,0,0,0,0
"FT0158",105.068005345741,412.05810546875,1270155.05510869,0,0,0,0,0,0,0,0,0,0,0
"FT0159",105.07432139931,412.548858642578,5100045.81264955,0,0,0,0,0,0,0,0,0,0,0
"FT0160",105.074358767257,614.085388183594,1483277.23315219,0,0,0,0,0,0,0,0,0,0,0
"FT0161",105.104429030202,552.128356933594,339890.995470942,0,0,0,0,0,0,0,0,0,0,0
"FT0162",105.104451796706,630.930541992188,1052620.09717288,0,0,0,0,0,0,0,0,0,0,0
"FT0165",105.954089107362,184.811134338379,2032511.60603453,0,0,0,0,0,0,0,0,0,0,0
"FT0166",106.050297490383,623.438354492188,2726644.77494929,0,0,0,0,0,0,0,0,0,0,0
"FT0168",106.08666605181,463.568817138672,8554175.1153684,0,0,0,0,0,0,0,0,0,0,0
"FT0169",106.086667500906,331.182434082031,6887251.94369155,0,0,0,0,0,0,0,0,0,0,0
"FT0170",106.111611348928,552.16748046875,180776.872872497,0,0,0,0,0,0,0,0,0,0,0
"FT0171",107.060702806258,670.763641357422,455558.103073461,0,0,0,0,0,0,0,0,0,0,0
"FT0172",107.967221599573,280.32014465332,881487.611082534,0,0,0,0,0,0,0,0,0,0,0
"FT0173",108.044764131423,259.307434082031,1057512.87908548,0,0,0,0,0,0,0,0,0,0,0
"FT0174",108.055997484686,266.095016479493,1259842.57473051,0,0,0,0,0,0,0,0,0,0,0
"FT0175",109.039999270555,266.568969726562,1230850.57400128,0,0,0,0,0,0,0,0,0,0,0
"FT0176",109.07638522472,557.833984375,1103279.62825845,0,0,0,0,0,0,0,0,0,0,0
"FT0177",109.076390481595,436.983764648438,2828666.14002328,0,0,0,0,0,0,0,0,0,0,0
"FT0178",110.027403086976,593.384033203125,842771.111482161,0,0,0,0,0,0,0,0,0,0,0
"FT0179",110.0352510508,401.883229445313,1115083.53881697,0,0,0,0,0,0,0,0,0,0,0
"FT0180",110.035201833788,288.423782348632,721535.832558523,0,0,0,0,0,0,0,0,0,0,0
"FT0181",110.071627808562,580.601013183594,8298005.13945205,0,0,0,0,0,0,0,0,0,0,0
"FT0182",111.068698337304,580.705871582031,5754034.46496961,0,0,0,0,0,0,0,0,0,0,0
"FT0183",112.039671425247,669.050140380859,1101041.08686576,0,0,0,0,0,0,0,0,0,0,0
"FT0184",112.050892389643,324.596160888672,137459717.320282,5962696,0,0,0,0,0,0,0,0,0,0
"FT0185",112.050904008306,388.259887695312,28565648.6375731,0,0,0,0,0,0,0,0,0,0,0
"FT0186",112.050888285215,289.527221679688,24627295.8751641,1036909,0,0,0,0,0,0,0,0,0,0
"FT0187",112.062073038819,231.307418823242,653204.972011572,0,0,0,0,0,0,0,0,0,0,0
"FT0188",113.047939729903,324.029937744141,2066109.79660711,0,0,0,0,0,0,0,0,0,0,0
"FT0192",113.054201489249,389.549285888672,1430178.03561559,0,0,0,0,0,0,0,0,0,0,0
"FT0193",113.060059491553,104.751815795898,15973821.1919011,0,0,0,0,0,0,0,0,0,0,0
"FT0194",113.071272740449,642.361328125,1559497.26576926,0,0,0,0,0,0,0,0,0,0,0
"FT0195",113.107694116645,349.285369873047,6557927.47344281,0,0,0,0,0,0,0,0,0,0,0
"FT0196",113.964006501877,1295.28540039062,404265.098602896,0,0,0,0,0,0,0,0,0,0,0
"FT0197",114.05530796908,581.83203125,620867.156717958,0,0,0,0,0,0,0,0,0,0,0
"FT0198",114.055216855857,339.076507568359,1917220.70880598,0,0,0,0,0,0,0,0,0,0,0
"FT0199",114.066502408439,243.364624023438,5128815.43875399,0,0,0,0,0,0,0,0,0,0,0
"FT0200",114.066472620092,579.487609863281,1426445.04994906,0,0,0,0,0,0,0,0,0,0,0
"FT0201",114.091673392077,124.801765441895,9300145.85195666,583985,0,0,0,0,0,0,0,0,0,0
"FT0202",114.10289639825,558.601698,556332.447384747,0,0,0,0,0,0,0,0,0,0,0
"FT0203",114.986894193358,449.140747070312,920586.651981857,0,0,0,0,0,0,0,0,0,0,0
"FT0204",115.039267561063,144.065307617188,364191.414151984,0,0,0,0,0,0,0,0,0,0,0
"FT0205",115.075644821056,132.544296264648,18806296.3726631,0,0,0,0,0,0,0,0,0,0,0
"FT0206",115.086875287975,225.26318359375,1526158.79164284,0,0,0,0,0,0,0,0,0,0,0
"FT0207",115.086886484077,559.748016357422,3936179.98291085,0,0,0,0,0,0,0,0,0,0,0
"FT0209",115.123286927076,544.384704589844,1385547.7174758,0,0,0,0,0,0,0,0,0,0,0
"FT0210",115.957746484542,571.223999023438,5064881.6029968,0,0,0,0,0,0,0,0,0,0,0
"FT0211",116.051668309406,324.357757568359,2976403.67960276,0,0,0,0,127460660,0,0,0,0,0,0
"FT0212",116.070895283883,448.150634765625,90692002.0214231,4994388,0,0,0,0,0,0,0,0,0,0
"FT0213",116.070928795527,193.009292602539,4021511.75144542,0,0,0,0,0,0,0,0,0,0,0
"FT0214",116.070944267686,864.404052734375,4880618.51802823,0,0,0,0,0,0,0,0,0,0,0
"FT0215",116.107301799209,551.223510742188,1319277.06671934,0,0,0,0,0,0,0,0,0,0,0
"FT0216",116.118520727419,545.100036621094,3453891.41768351,0,0,0,0,0,0,0,0,0,0,0
"FT0217",116.984799050872,450.315338134766,911700.706359647,0,0,0,0,0,0,0,0,0,0,0
"FT0218",117.045067537007,666.638946533203,2149507.77825221,0,0,0,0,0,0,0,0,0,0,0
"FT0219",117.048646940113,324.212524414062,148561581.538234,0,0,0,0,0,2331248,0,0,0,0,0
"FT0220",117.054920060102,565.939575195312,9483375.31106117,0,0,0,0,0,0,0,0,0,0,0
"FT0222",117.102561745908,122.229820251465,834399.799607324,0,0,0,0,0,0,0,0,0,0,0
"FT0223",117.113760857707,560.435180664062,721189.98053572,0,0,0,0,0,0,0,0,0,0,0
"FT0224",118.032360111643,169.743286132812,22443025.9236564,949833,0,1073066,0,0,0,0,0,0,0,0
"FT0225",118.050324007283,364.307220458984,907052.064408787,0,0,0,0,0,0,0,0,0,0,0
"FT0227",118.05818873187,566.86767578125,532390.159702724,0,0,0,0,0,0,0,0,0,0,0
"FT0228",118.061589825013,622.111602783203,1807066.80152364,0,0,0,0,0,0,0,0,0,0,0
"FT0229",118.065412135916,204.643501281738,16959552.3399528,0,0,0,0,0,0,0,0,0,0,0
"FT0230",118.08645156073,344.069000244141,4192333737.82467,234533041,5142765,0,0,15032140,17475896,0,0,0,0,0
"FT0231",118.086500309503,424.326446533203,89182796.7014186,4831981,0,0,0,0,0,0,0,0,0,0
"FT0232",118.122703976578,345.382446289062,4559533.08300322,0,0,0,0,0,0,0,0,0,0,0
"FT0233",119.034113058916,567.535705566406,21901038.7178347,774407,0,0,0,0,0,0,0,16744464,0,0
"FT0234",119.035462049334,229.742144861816,1328748.83205806,0,0,0,0,0,0,0,232782365,0,0,0
"FT0235",119.035462706094,197.605690002441,1650863.72568093,0,0,0,0,0,0,0,0,0,0,0
"FT0236",119.035450030907,290.58918762207,711910.033044516,0,0,0,0,0,0,0,0,0,0,0
"FT0237",119.049343289514,466.768692016601,616982.58964758,0,0,0,0,0,0,0,0,0,0,0
