"","MF.Fraction","MassBankMatch","MassBankppm","MassBankCosine1","ID","Names","spectrum_KRHform_filtered","MH_mass.x","MH_mass.y","MS2","scan1","scan2","mass1","mass2","Cosine1"
"1","I102.0549R12.14_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Uracil_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","I124.0064R10.88_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Isethionic Acid_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","I126.904R4.8_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","L-Pyroglutamic acid_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Malic Acid_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Amino Propanesulfonic Acid_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","I139.0157R7.24_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","I148.9235R3.57_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","DHPS_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","N-acetyltaurine_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","I167.0204R10.56_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Cysteic Acid_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Sulfolactic Acid_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","I172.0067R5.44_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","I186.0253R12.12_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","I192.9131R3.72_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","I192.9808R2.93_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","I194.9965R12.04_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Gluconic Acid_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","I214.0388R5.25_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","I214.0484R11.68_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","I217.93R10.87_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","I219.9271R10.87_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","I221.022R10.39_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","I225.1607R2.2_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","I229.1557R2_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","I232.0231R10.77_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","I239.002R2.89_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","I241.0119R13.69_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Thymidine_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Cytidine_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Uridine_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","I243.1715R1.84_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","I244.0495R6.68_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","I244.0828R9.94_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","I253.9168R1.77_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","I261.9827R12.12_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","I267.0726R11.17_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Inosine_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","I275.9414R1.7_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","I276.9109R1.79_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","I277.9097R1.79_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","I292.0727R10.9_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","I298.957R7.41_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","I300.8705R4.81_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","I302.0009R7.07_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","I304.079R2.8_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","I316.0457R12.61_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","I317.0553R12.1_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","I325.0188R11.15_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","I327.1204R10.42_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","I329.0856R4.34_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","I331.1154R11.28_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","I338.006R9.9_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","I340.0028R9.93_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Sucrose_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Trehalose_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","I346.0564R12.06_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","I376.9346R7.43_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","I379.083R11.37_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","I386.0341R16.12_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","I387.2256R2.2_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","I401.241R2.14_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","I414.1638R9.08_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","I429.1257R12.32_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","I479.7914R1.79_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","I495.0783R2.22_HILICNeg_X_HILICNeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
